obstacles_input,obstacles_after_unwrapping,obstacle_vertices_input,obstacle_vertices_after_unwrapping,road_vertices_input,road_vertices_after_merging,road_edges_input,road_edges_after_merging,other_vertices_input,visibility_edges_before_merging,visibility_edges_after_merging,from,to,distance_beeline,distance_route,min_time,max_time,avg_time,total_time_of_all_iterations,astar_avg_time,add_positions_to_graph_avg_time,restore_avg_time,min_mem_before,max_mem_before,avg_mem_before,min_mem_after,max_mem_after,avg_mem_after
653,5164,7096,20629,858,12468,426,24942,7768,21546,56487,9.955 53.579,9.955 53.573,599.467,714.319,214.943,235.851,224.804,1124.019,38.2,168.616,17.582,371326976,375549952,373454438.4,391749632,391925760,391852032
653,5164,7096,20629,858,12468,426,24942,7768,21546,56487,9.955 53.573,9.959 53.578,550.109,773.257,316.771,399.391,345.394,1726.97,41.977,283.975,19.231,377540608,377577472,377558630.4,419426304,419700736,419559833.6
653,5164,7096,20629,858,12468,426,24942,7768,21546,56487,9.959 53.578,9.96 53.573,499.74,634.476,248.689,310.958,267.895,1339.476,32.946,216.525,18.235,378322944,380489728,378777600,400691200,400822272,400759193.6
653,5164,7096,20629,858,12468,426,24942,7768,21546,56487,9.96 53.573,9.956 53.576,449.642,608.783,256.374,316.943,280.647,1403.235,25.475,235.417,18.355,378761216,378908672,378821017.6,400703488,400900096,400782131.2
653,5164,7096,20629,858,12468,426,24942,7768,21546,56487,9.956 53.576,9.951 53.574,400.337,549.246,268.012,301.654,282.896,1414.478,41.271,223.162,18.286,375226368,375386112,375268966.4,402669568,402845696,402740838.4
653,5164,7096,20629,858,12468,426,24942,7768,21546,56487,9.951 53.574,9.957 53.574,349.744,410.184,149.008,218.782,176.716,883.58,13.441,147.567,15.608,373460992,378068992,374430105.6,375570432,380096512,376486297.6
653,5164,7096,20629,858,12468,426,24942,7768,21546,56487,9.957 53.574,9.957 53.577,299.824,334.075,321.379,421.894,361.165,1805.824,19.392,321.184,20.474,369573888,375963648,371287654.4,396918784,401330176,397845299.2
653,5164,7096,20629,858,12468,426,24942,7768,21546,56487,9.957 53.577,9.954 53.578,249.953,256.967,308.73,354.494,331.913,1659.566,10.795,301.918,19.06,374349824,374411264,374383411.2,404680704,404901888,404783923.2
653,5164,7096,20629,858,12468,426,24942,7768,21546,56487,9.954 53.578,9.952 53.576,200.038,242.904,266.026,292.309,275.855,1379.276,12.788,244.325,18.684,376401920,378519552,376852480,393715712,395456512,394464460.8
653,5164,7096,20629,858,12468,426,24942,7768,21546,56487,9.952 53.576,9.954 53.575,150.348,173.937,194.664,200.928,197.59,987.949,6.231,174.811,16.474,378687488,380801024,379137228.8,380727296,382812160,381176217.6
653,5164,7096,20629,858,12468,426,24942,7768,21546,56487,9.954 53.575,9.954 53.574,100.102,183.329,261.471,262.958,262.306,1311.529,4.056,240.859,17.328,376786944,376819712,376803328,395808768,395816960,395811225.6
