obstacles_input,obstacles_after_unwrapping,obstacle_vertices_input,obstacle_vertices_after_unwrapping,road_vertices_input,road_vertices_after_merging,road_edges_input,road_edges_after_merging,other_vertices_input,visibility_edges_before_merging,visibility_edges_after_merging,from,to,distance_beeline,distance_route,min_time,max_time,avg_time,total_time_of_all_iterations,astar_avg_time,add_positions_to_graph_avg_time,restore_avg_time,min_mem_before,max_mem_before,avg_mem_before,min_mem_after,max_mem_after,avg_mem_after
653,5164,7096,20629,858,11152,426,22337,7768,16812,46829,9.955 53.579,9.955 53.573,599.467,712.629,152.655,173.875,157.936,789.682,30.77,115.246,11.506,338735104,338923520,338811289.6,345014272,345260032,345163366.4
653,5164,7096,20629,858,11152,426,22337,7768,16812,46829,9.955 53.573,9.959 53.578,550.109,776.068,228.646,251.128,238.471,1192.353,33.911,190.887,13.515,347795456,347848704,347820032,370843648,371060736,370970624
653,5164,7096,20629,858,11152,426,22337,7768,16812,46829,9.959 53.578,9.96 53.573,499.74,634.476,182.377,191.265,185.621,928.105,27.415,145.409,12.637,352817152,352866304,352840908.8,359104512,359235584,359141376
653,5164,7096,20629,858,11152,426,22337,7768,16812,46829,9.96 53.573,9.956 53.576,449.642,609.834,221.914,231.112,225.85,1129.248,19.455,192.61,12.488,349163520,349270016,349228236.8,368082944,368259072,368177971.2
653,5164,7096,20629,858,11152,426,22337,7768,16812,46829,9.956 53.576,9.951 53.574,400.337,549.265,222.149,272.279,238.436,1192.181,34.636,190.864,12.779,349536256,349634560,349581312,374747136,374878208,374829056
653,5164,7096,20629,858,11152,426,22337,7768,16812,46829,9.951 53.574,9.957 53.574,349.744,406.825,120.076,122.305,120.789,603.945,11.715,97.591,11.408,358084608,358178816,358144409.6,364277760,364507136,364391628.8
653,5164,7096,20629,858,11152,426,22337,7768,16812,46829,9.957 53.574,9.957 53.577,299.824,333.336,228.758,233.989,230.713,1153.565,13.596,203.905,13.131,345956352,346066944,346006323.2,362815488,362885120,362849075.2
653,5164,7096,20629,858,11152,426,22337,7768,16812,46829,9.957 53.577,9.954 53.578,249.953,256.549,220.17,224.996,222.271,1111.354,8.427,201.002,12.727,346091520,346206208,346144768,362889216,363024384,362971136
653,5164,7096,20629,858,11152,426,22337,7768,16812,46829,9.954 53.578,9.952 53.576,200.038,242.904,192.134,194.205,193.199,965.995,10.382,169.705,13.058,350478336,350638080,350582374.4,358961152,359124992,359043891.2
653,5164,7096,20629,858,11152,426,22337,7768,16812,46829,9.952 53.576,9.954 53.575,150.348,175.546,146.202,155.014,149.354,746.77,5.571,131.695,12.014,354930688,355045376,354982297.6,357060608,357171200,357122867.2
653,5164,7096,20629,858,11152,426,22337,7768,16812,46829,9.954 53.575,9.954 53.574,100.102,185.113,201.07,206.759,203.534,1017.671,3.681,187.02,12.776,350912512,351055872,350964121.6,359350272,359469056,359416627.2
