obstacles_input,obstacles_after_unwrapping,obstacle_vertices_input,obstacle_vertices_after_unwrapping,road_vertices_input,road_vertices_after_merging,road_edges_input,road_edges_after_merging,other_vertices_input,visibility_edges_before_merging,visibility_edges_after_merging,from,to,distance_beeline,distance_route,min_time,max_time,avg_time,total_time_of_all_iterations,astar_avg_time,add_positions_to_graph_avg_time,restore_avg_time,min_mem_before,max_mem_before,avg_mem_before,min_mem_after,max_mem_after,avg_mem_after
653,5164,7096,20629,858,11737,426,23507,7768,17234,49369,9.955 53.579,9.955 53.573,599.467,712.629,162.653,187.491,171.262,856.311,32.952,125.967,11.918,343715840,347942912,347072102.4,345735168,350146560,349170892.8
653,5164,7096,20629,858,11737,426,23507,7768,17234,49369,9.955 53.573,9.959 53.578,550.109,776.068,244.285,258.707,250.147,1250.735,36.468,199.835,13.665,361652224,361865216,361722675.2,388894720,389099520,389038080
653,5164,7096,20629,858,11737,426,23507,7768,17234,49369,9.959 53.578,9.96 53.573,499.74,634.476,191.527,198.812,194.857,974.284,29.414,152.525,12.755,346009600,346083328,346037452.8,360726528,360869888,360784691.2
653,5164,7096,20629,858,11737,426,23507,7768,17234,49369,9.96 53.573,9.956 53.576,449.642,609.834,237.294,263.483,249.405,1247.025,20.677,213.963,13.31,350724096,350814208,350748672,367575040,367661056,367616819.2
653,5164,7096,20629,858,11737,426,23507,7768,17234,49369,9.956 53.576,9.951 53.574,400.337,549.265,244.938,268.627,255.734,1278.669,36.405,205.76,13.374,342896640,346972160,345320652.8,365932544,370143232,368408985.6
653,5164,7096,20629,858,11737,426,23507,7768,17234,49369,9.951 53.574,9.957 53.574,349.744,406.832,126.926,161.345,137.489,687.447,12.625,112.652,12.133,347262976,347398144,347353907.2,349364224,349454336,349410099.2
653,5164,7096,20629,858,11737,426,23507,7768,17234,49369,9.957 53.574,9.957 53.577,299.824,336.201,243.241,259.962,249.086,1245.43,14.684,220.504,13.797,347439104,349573120,347898675.2,366424064,366493696,366465024
653,5164,7096,20629,858,11737,426,23507,7768,17234,49369,9.957 53.577,9.954 53.578,249.953,256.549,241.488,259.343,250.163,1250.816,9.024,227.774,13.25,343384064,343511040,343439769.6,360210432,360345600,360289894.4
653,5164,7096,20629,858,11737,426,23507,7768,17234,49369,9.954 53.578,9.952 53.576,200.038,242.904,201.704,224.545,209.072,1045.36,10.972,184.958,13.091,347795456,347922432,347857715.2,356184064,356331520,356260249.6
653,5164,7096,20629,858,11737,426,23507,7768,17234,49369,9.952 53.576,9.954 53.575,150.348,175.582,153.358,164.508,158.584,792.922,5.958,140.301,12.247,348106752,348160000,348133785.6,350121984,350199808,350162124.8
653,5164,7096,20629,858,11737,426,23507,7768,17234,49369,9.954 53.575,9.954 53.574,100.102,185.113,211.208,229.066,219.956,1099.782,4.419,201.897,13.579,344117248,344231936,344172953.6,354643968,354799616,354723430.4
