obstacles_input,obstacles_after_unwrapping,obstacle_vertices_input,obstacle_vertices_after_unwrapping,road_vertices_input,road_vertices_after_merging,road_edges_input,road_edges_after_merging,other_vertices_input,visibility_edges_before_merging,visibility_edges_after_merging,from,to,distance_beeline,distance_route,min_time,max_time,avg_time,total_time_of_all_iterations,astar_avg_time,add_positions_to_graph_avg_time,restore_avg_time,min_mem_before,max_mem_before,avg_mem_before,min_mem_after,max_mem_after,avg_mem_after
0,0,0,0,7849,7239,3629,16104,7849,0,40,9.943 53.569,9.969 53.585,2496.971,2651.141,680.259,729.073,707.403,3537.013,21.455,628.991,56.879,306941952,315330560,312761548.8,440111104,440242176,440215961.6
0,0,0,0,7849,7239,3629,16104,7849,0,40,9.969 53.585,9.947 53.568,2301.611,2460.449,657.322,661.819,660.341,3301.704,20.298,584.385,55.579,336674816,336674816,336674816,458309632,458309632,458309632
0,0,0,0,7849,7239,3629,16104,7849,0,40,9.947 53.568,9.97 53.583,2195.388,2370.168,566.846,579.821,573.21,2866.051,18.268,501.97,52.902,350441472,354639872,351283609.6,459493376,459497472,459496652.8
0,0,0,0,7849,7239,3629,16104,7849,0,40,9.97 53.583,9.947 53.57,2095.063,2354.688,705.872,724.202,714.422,3572.112,19.346,638.355,55.429,322142208,327786496,325828608,456359936,457859072,457536307.2
0,0,0,0,7849,7239,3629,16104,7849,0,40,9.947 53.57,9.967 53.583,2001.624,2247.296,701.592,732.661,718.834,3594.171,19.394,641.659,57.713,324239360,328441856,326759219.2,456359936,456368128,456363212.8
0,0,0,0,7849,7239,3629,16104,7849,0,40,9.967 53.583,9.944 53.573,1901.386,2083.935,888.07,926.587,904.569,4522.846,43.455,796.399,64.653,297512960,306196480,299440537.6,315813888,321060864,318251008
0,0,0,0,7849,7239,3629,16104,7849,0,40,9.944 53.573,9.965 53.583,1796.425,1954.325,835.041,851.128,843.444,4217.218,20.512,657.446,165.424,311500800,311500800,311500800,312147968,312147968,312147968
0,0,0,0,7849,7239,3629,16104,7849,0,40,9.965 53.583,9.96 53.568,1697.678,1831.542,676.844,693.925,682.807,3414.033,18.103,608.841,55.804,334938112,339132416,338293555.2,464961536,464961536,464961536
0,0,0,0,7849,7239,3629,16104,7849,0,40,9.96 53.568,9.948 53.581,1602.868,1674.151,908.771,928.565,916.551,4582.753,34.124,818.811,63.563,306020352,308142080,306444697.6,308789248,315056128,313388236.8
0,0,0,0,7849,7239,3629,16104,7849,0,40,9.948 53.581,9.963 53.571,1497.617,1601.147,1002.923,1019.354,1013.387,5066.933,20.536,925.127,67.671,283750400,283750400,283750400,293478400,293478400,293478400
0,0,0,0,7849,7239,3629,16104,7849,0,40,9.963 53.571,9.954 53.581,1297.274,1349.048,994.137,1036.7,1005.973,5029.864,20.892,923.897,61.137,288444416,292638720,291799859.2,310341632,314535936,313697075.2
0,0,0,0,7849,7239,3629,16104,7849,0,40,9.954 53.581,9.964 53.572,1240.606,1276.827,1060.088,1082.246,1070.576,5352.878,18.044,986.735,65.751,275255296,279449600,277772697.6,273952768,278147072,277308211.2
0,0,0,0,7849,7239,3629,16104,7849,0,40,9.964 53.572,9.948 53.577,1193.542,1248.223,1102.092,1127.666,1116.289,5581.447,20.446,1025.755,70.03,267653120,267653120,267653120,289755136,289755136,289755136
