obstacles_input,obstacles_after_unwrapping,obstacle_vertices_input,obstacle_vertices_after_unwrapping,road_vertices_input,road_vertices_after_merging,road_edges_input,road_edges_after_merging,other_vertices_input,visibility_edges_before_merging,visibility_edges_after_merging,from,to,distance_beeline,distance_route,min_time,max_time,avg_time,total_time_of_all_iterations,astar_avg_time,add_positions_to_graph_avg_time,restore_avg_time,min_mem_before,max_mem_before,avg_mem_before,min_mem_after,max_mem_after,avg_mem_after
653,5164,7096,20629,858,13505,426,27016,7768,22592,61621,9.955 53.579,9.955 53.573,599.467,714.319,591.385,591.385,591.385,591.385,97.376,471.445,18.915,454041600,454041600,454041600,477650944,477650944,477650944
653,5164,7096,20629,858,13505,426,27016,7768,22592,61621,9.955 53.573,9.959 53.578,550.109,773.257,743.709,743.709,743.709,743.709,49.06,670.621,20.278,479866880,479866880,479866880,482885632,482885632,482885632
653,5164,7096,20629,858,13505,426,27016,7768,22592,61621,9.959 53.578,9.96 53.573,499.74,634.476,606.561,606.561,606.561,606.561,34.905,552.947,16.662,482828288,482828288,482828288,484868096,484868096,484868096
653,5164,7096,20629,858,13505,426,27016,7768,22592,61621,9.96 53.573,9.956 53.576,449.642,608.795,589.673,589.673,589.673,589.673,23.635,548.833,17.022,485498880,485498880,485498880,487510016,487510016,487510016
653,5164,7096,20629,858,13505,426,27016,7768,22592,61621,9.956 53.576,9.951 53.574,400.337,549.265,518.421,518.421,518.421,518.421,40.084,460.612,17.538,483897344,483897344,483897344,486096896,486096896,486096896
653,5164,7096,20629,858,13505,426,27016,7768,22592,61621,9.951 53.574,9.957 53.574,349.744,410.192,407.441,407.441,407.441,407.441,14.839,376.233,16.274,477806592,477806592,477806592,479850496,479850496,479850496
653,5164,7096,20629,858,13505,426,27016,7768,22592,61621,9.957 53.574,9.957 53.577,299.824,333.614,547.174,547.174,547.174,547.174,18.408,509.796,18.459,456830976,456830976,456830976,486412288,486412288,486412288
653,5164,7096,20629,858,13505,426,27016,7768,22592,61621,9.957 53.577,9.954 53.578,249.953,256.967,571.916,571.916,571.916,571.916,9.944,543.767,18.054,457293824,457293824,457293824,488718336,488718336,488718336
653,5164,7096,20629,858,13505,426,27016,7768,22592,61621,9.954 53.578,9.952 53.576,200.038,242.904,520.856,520.856,520.856,520.856,14.502,487.105,18.325,459587584,459587584,459587584,478593024,478593024,478593024
653,5164,7096,20629,858,13505,426,27016,7768,22592,61621,9.952 53.576,9.954 53.575,150.348,173.963,438.776,438.776,438.776,438.776,6.851,414.514,17.324,459616256,459616256,459616256,465797120,465797120,465797120
653,5164,7096,20629,858,13505,426,27016,7768,22592,61621,9.954 53.575,9.954 53.574,100.102,183.41,516.27,516.27,516.27,516.27,4.801,493.291,18.111,457719808,457719808,457719808,476778496,476778496,476778496
