obstacles_input,obstacles_after_unwrapping,obstacle_vertices_input,obstacle_vertices_after_unwrapping,road_vertices_input,road_vertices_after_merging,road_edges_input,road_edges_after_merging,other_vertices_input,visibility_edges_before_merging,visibility_edges_after_merging,from,to,distance_beeline,distance_route,min_time,max_time,avg_time,total_time_of_all_iterations,astar_avg_time,add_positions_to_graph_avg_time,restore_avg_time,min_mem_before,max_mem_before,avg_mem_before,min_mem_after,max_mem_after,avg_mem_after
4348,31928,45018,127758,358,497,175,652,47680,152924,164064,9.943 53.569,9.969 53.585,2496.971,3076.112,299.95,304.122,301.844,1509.22,56.935,200.639,43.998,915275776,917389312,916126105.6,925773824,927875072,926615142.4
4348,31928,45018,127758,358,497,175,652,47680,152924,164064,9.969 53.585,9.947 53.568,2301.611,2964.551,318.239,322.087,319.739,1598.696,55.115,219.487,45.067,915226624,915234816,915230720,925712384,925720576,925716480
4348,31928,45018,127758,358,497,175,652,47680,152924,164064,9.947 53.568,9.97 53.583,2195.388,2983.31,290.203,292.191,291.302,1456.512,55.999,191.292,43.95,919715840,919719936,919716659.2,930201600,930205696,930202419.2
4348,31928,45018,127758,358,497,175,652,47680,152924,164064,9.97 53.583,9.947 53.57,2095.063,2924.906,400.328,415.826,405.424,2027.118,55.684,304.227,44.241,916353024,918425600,917528576,922644480,924712960,923704524.8
4348,31928,45018,127758,358,497,175,652,47680,152924,164064,9.947 53.57,9.967 53.583,2001.624,2794.486,575.847,584.878,580.537,2902.686,56.379,478.599,45.492,691179520,866566144,793660620.8,701669376,877051904,814213529.6
4348,31928,45018,127758,358,497,175,652,47680,152924,164064,9.967 53.583,9.944 53.573,1901.386,2515.656,453.871,460.759,456.831,2284.156,49.671,362.198,44.896,697675776,697696256,697687244.8,708161536,708182016,708173004.8
4348,31928,45018,127758,358,497,175,652,47680,152924,164064,9.944 53.573,9.965 53.583,1796.425,2358.344,342.232,346.441,344.108,1720.54,48.428,251.611,44.003,697974784,697978880,697977241.6,708460544,708464640,708463001.6
4348,31928,45018,127758,358,497,175,652,47680,152924,164064,9.965 53.583,9.96 53.568,1697.678,2240.611,408.409,413.411,410.447,2052.233,41.634,324.521,44.233,696061952,696070144,696065228.8,706547712,706555904,706550988.8
4348,31928,45018,127758,358,497,175,652,47680,152924,164064,9.96 53.568,9.948 53.581,1602.868,1707.205,448.827,461.932,454.731,2273.657,38.201,372.165,44.32,694063104,694071296,694068838.4,704548864,704557056,704554598.4
4348,31928,45018,127758,358,497,175,652,47680,152924,164064,9.948 53.581,9.963 53.571,1497.617,1669.042,366.716,377.127,370.18,1850.898,44.889,281.269,43.976,696549376,696553472,696551014.4,711229440,711233536,711231078.4
4348,31928,45018,127758,358,497,175,652,47680,152924,164064,9.963 53.571,9.954 53.581,1297.274,1513.373,274.093,278.091,276.49,1382.449,35.217,197.344,43.887,701034496,701034496,701034496,715714560,715714560,715714560
4348,31928,45018,127758,358,497,175,652,47680,152924,164064,9.954 53.581,9.964 53.572,1240.606,1711.792,229.583,231.12,230.513,1152.564,46.213,140.233,44.02,707690496,707698688,707695411.2,722370560,722378752,722375475.2
4348,31928,45018,127758,358,497,175,652,47680,152924,164064,9.964 53.572,9.948 53.577,1193.542,1517.692,224.97,226.481,225.594,1127.972,31.092,150.79,43.662,701546496,701550592,701548134.4,716226560,716230656,716228198.4
4348,31928,45018,127758,358,497,175,652,47680,152924,164064,9.948 53.577,9.963 53.571,1153.15,1367.436,307.822,310.347,308.828,1544.138,44.041,220.715,44.026,701964288,701968384,701965926.4,716644352,716648448,716645990.4
4348,31928,45018,127758,358,497,175,652,47680,152924,164064,9.963 53.571,9.948 53.575,1098.082,1223.347,397.873,401.653,399.145,1995.725,25.145,329.731,44.222,696025088,696037376,696031641.6,710705152,710717440,710711705.6
4348,31928,45018,127758,358,497,175,652,47680,152924,164064,9.948 53.575,9.962 53.58,1045.132,2054.526,412.743,415.131,413.92,2069.602,48.98,320.604,44.277,700739584,700743680,700742041.6,711225344,711229440,711227801.6
4348,31928,45018,127758,358,497,175,652,47680,152924,164064,9.962 53.58,9.956 53.572,1003.623,2176.703,469.246,470.851,469.982,2349.911,43.227,382.267,44.436,696786944,696795136,696791040,707272704,707280896,707276800
4348,31928,45018,127758,358,497,175,652,47680,152924,164064,9.956 53.572,9.949 53.579,949.586,1023.878,595.705,611.833,600.192,3000.959,29.856,525.459,44.831,697249792,697262080,697255526.4,707735552,707747840,707741286.4
4348,31928,45018,127758,358,497,175,652,47680,152924,164064,9.949 53.579,9.963 53.579,899.769,1770.324,499.197,506.154,501.66,2508.299,48.666,408.31,44.635,697274368,697282560,697277644.8,707760128,707768320,707763404.8
4348,31928,45018,127758,358,497,175,652,47680,152924,164064,9.963 53.579,9.957 53.572,849.955,2123.615,486.198,496.973,493.088,2465.439,38.505,409.975,44.56,701485056,701493248,701489971.2,711970816,711979008,711975731.2
4348,31928,45018,127758,358,497,175,652,47680,152924,164064,9.957 53.572,9.954 53.579,799.121,1176.173,435.354,445.075,441.851,2209.257,32.245,365.178,44.385,697565184,697573376,697568460.8,708050944,708059136,708054220.8
4348,31928,45018,127758,358,497,175,652,47680,152924,164064,9.954 53.579,9.951 53.573,749.167,1011.853,352.697,359.548,357.422,1787.108,21.704,291.359,44.315,701943808,701952000,701947084.8,712429568,712437760,712432844.8
