obstacles_input,obstacles_after_unwrapping,obstacle_vertices_input,obstacle_vertices_after_unwrapping,road_vertices_input,road_vertices_after_merging,road_edges_input,road_edges_after_merging,other_vertices_input,visibility_edges_before_merging,visibility_edges_after_merging,from,to,distance_beeline,distance_route,min_time,max_time,avg_time,total_time_of_all_iterations,astar_avg_time,add_positions_to_graph_avg_time,restore_avg_time,min_mem_before,max_mem_before,avg_mem_before,min_mem_after,max_mem_after,avg_mem_after
653,5164,7096,20629,858,11257,426,22547,7768,17068,47765,9.955 53.579,9.955 53.573,599.467,712.629,307.835,317.155,311.64,1558.201,30.781,269.344,11.12,340516864,340672512,340566016,346849280,346951680,346898432
653,5164,7096,20629,858,11257,426,22547,7768,17068,47765,9.955 53.573,9.959 53.578,550.109,776.068,388.601,392.267,390.864,1954.321,32.696,344.661,13.337,355987456,356093952,356035788.8,376991744,377159680,377097420.8
653,5164,7096,20629,858,11257,426,22547,7768,17068,47765,9.959 53.578,9.96 53.573,499.74,634.476,389.187,397.261,393.118,1965.589,26.785,354.279,11.902,356757504,356888576,356791091.2,369451008,369557504,369473126.4
653,5164,7096,20629,858,11257,426,22547,7768,17068,47765,9.96 53.573,9.956 53.576,449.642,609.834,411.578,434.156,417.433,2087.165,19.022,384.19,12.902,352956416,353075200,353035878.4,374005760,374190080,374096691.2
653,5164,7096,20629,858,11257,426,22547,7768,17068,47765,9.956 53.576,9.951 53.574,400.337,549.265,364.778,366.248,365.378,1826.891,33.418,319.037,12.774,361799680,361836544,361817702.4,387063808,387129344,387095756.8
653,5164,7096,20629,858,11257,426,22547,7768,17068,47765,9.951 53.574,9.957 53.574,349.744,406.825,265.524,270.44,267.858,1339.288,12.061,244.051,11.67,357904384,357924864,357913395.2,360144896,360165376,360153907.2
653,5164,7096,20629,858,11257,426,22547,7768,17068,47765,9.957 53.574,9.957 53.577,299.824,333.336,373.612,378.121,375.759,1878.793,13.342,349.073,13.264,358096896,358240256,358155878.4,370769920,370900992,370834636.8
653,5164,7096,20629,858,11257,426,22547,7768,17068,47765,9.957 53.577,9.954 53.578,249.953,256.549,373.418,376.984,374.713,1873.567,8.158,353.564,12.877,354095104,354267136,354178662.4,366661632,366882816,366782873.6
653,5164,7096,20629,858,11257,426,22547,7768,17068,47765,9.954 53.578,9.952 53.576,200.038,242.904,344.362,356.14,348.871,1744.355,10.547,325.481,12.791,358481920,358584320,358522880,366878720,366981120,366935244.8
653,5164,7096,20629,858,11257,426,22547,7768,17068,47765,9.952 53.576,9.954 53.575,150.348,175.546,286.242,298.661,291.331,1456.657,5.853,273.313,12.089,358768640,358965248,358881689.6,360861696,361005056,360939520
653,5164,7096,20629,858,11257,426,22547,7768,17068,47765,9.954 53.575,9.954 53.574,100.102,185.113,333.545,340.483,336.661,1683.307,3.716,319.968,12.92,354824192,354959360,354885632,365297664,365379584,365341900.8
