obstacles_input,obstacles_after_unwrapping,obstacle_vertices_input,obstacle_vertices_after_unwrapping,road_vertices_input,road_vertices_after_merging,road_edges_input,road_edges_after_merging,other_vertices_input,visibility_edges_before_merging,visibility_edges_after_merging,from,to,distance_beeline,distance_route,min_time,max_time,avg_time,total_time_of_all_iterations,astar_avg_time,add_positions_to_graph_avg_time,restore_avg_time,min_mem_before,max_mem_before,avg_mem_before,min_mem_after,max_mem_after,avg_mem_after
653,5164,7096,20629,858,11257,426,22547,7768,17068,47765,9.955 53.579,9.955 53.573,599.467,712.629,289.068,302.305,293.293,1466.464,30.942,250.567,11.385,337485824,337600512,337534976,343879680,343977984,343923097.6
653,5164,7096,20629,858,11257,426,22547,7768,17068,47765,9.955 53.573,9.959 53.578,550.109,776.068,370.407,374.452,372.324,1861.618,33.009,326.045,13.104,349077504,349138944,349113548.8,370184192,370241536,370216960
653,5164,7096,20629,858,11257,426,22547,7768,17068,47765,9.959 53.578,9.96 53.573,499.74,634.476,355.273,359.537,357.59,1787.948,26.684,318.877,11.894,349786112,349913088,349866393.6,360325120,360411136,360369356.8
653,5164,7096,20629,858,11257,426,22547,7768,17068,47765,9.96 53.573,9.956 53.576,449.642,609.834,377.894,398.79,385.964,1929.819,19.821,351.485,13.356,346038272,346271744,346180812.8,360865792,365113344,361779200
653,5164,7096,20629,858,11257,426,22547,7768,17068,47765,9.956 53.576,9.951 53.574,400.337,549.265,335.725,352.702,340.908,1704.538,33.682,293.743,13.307,350707712,350924800,350836326.4,375955456,376107008,376052121.6
653,5164,7096,20629,858,11257,426,22547,7768,17068,47765,9.951 53.574,9.957 53.574,349.744,406.825,245.579,247.621,246.523,1232.617,12.268,222.446,11.733,355139584,355254272,355185459.2,361439232,361623552,361526886.4
653,5164,7096,20629,858,11257,426,22547,7768,17068,47765,9.957 53.574,9.957 53.577,299.824,333.336,339.313,343.1,341.934,1709.669,13.895,314.682,13.277,346992640,347160576,347069644.8,357490688,357621760,357577523.2
653,5164,7096,20629,858,11257,426,22547,7768,17068,47765,9.957 53.577,9.954 53.578,249.953,256.549,341.282,345.038,342.684,1713.42,8.199,321.509,12.862,347209728,347328512,347259699.2,359833600,359940096,359903232
653,5164,7096,20629,858,11257,426,22547,7768,17068,47765,9.954 53.578,9.952 53.576,200.038,242.904,312.531,315.88,314.546,1572.729,10.41,290.985,13.097,347443200,347537408,347479244.8,355917824,356003840,355957145.6
653,5164,7096,20629,858,11257,426,22547,7768,17068,47765,9.952 53.576,9.954 53.575,150.348,175.546,261.067,281.189,266.884,1334.419,5.977,248.538,12.294,347615232,351924224,350199808,349691904,353964032,352264192
653,5164,7096,20629,858,11257,426,22547,7768,17068,47765,9.954 53.575,9.954 53.574,100.102,185.113,309.558,372.145,325.316,1626.581,3.775,308.58,12.904,347918336,350076928,348785049.6,356192256,358498304,357147443.2
