time,kb
1690035758302,84520
1690035758404,84520
1690035758506,84520
1690035758609,84520
1690035758714,84520
1690035758816,84520
1690035758919,84520
1690035759020,84520
1690035759122,84520
1690035759223,84520
1690035759325,84520
1690035759426,84520
1690035759528,84520
1690035759631,84520
1690035759734,84520
1690035759837,84520
1690035759941,84520
1690035760043,91560
1690035760145,94148
1690035760247,100668
1690035760348,100676
1690035760450,100520
1690035760551,101800
1690035760654,102380
1690035760756,102108
1690035760858,102492
1690035760961,103388
1690035761063,104284
1690035761164,105180
1690035761266,105820
1690035761367,106204
1690035761468,106204
1690035761570,106204
1690035761671,106204
1690035761772,106204
1690035761873,106204
1690035761975,106204
1690035762076,106332
1690035762178,106332
1690035762279,106332
1690035762381,106716
1690035762482,104648
1690035762586,104688
1690035762688,104992
1690035762790,105044
1690035762891,104916
1690035762994,104836
1690035763095,109116
1690035763197,109056
1690035763299,109068
1690035763402,109056
1690035763503,107036
1690035763605,107024
1690035763707,107132
1690035763809,107132
1690035763910,107112
1690035764013,107224
1690035764115,107256
1690035764217,107268
1690035764318,107276
1690035764420,107260
1690035764522,107240
1690035764624,107356
1690035764725,107448
1690035764827,107368
1690035764929,107388
1690035765031,107380
1690035765133,107404
1690035765235,107416
1690035765336,107528
1690035765438,107464
1690035765545,107480
1690035765647,107536
1690035765748,107556
1690035765851,107812
1690035765952,107892
1690035766055,107804
1690035766156,107876
1690035766258,108132
1690035766359,107968
1690035766461,107992
1690035766563,108020
1690035766665,107948
1690035766766,108132
1690035766869,108292
1690035766970,108200
1690035767071,108240
1690035767173,108296
1690035767275,108280
1690035767376,110212
1690035767478,119292
1690035767580,124220
1690035767681,123592
1690035767783,124836
1690035767884,129032
1690035767987,132600
1690035768088,133100
1690035768191,134296
1690035768293,134232
1690035768395,134996
1690035768497,135380
1690035768599,136524
1690035768701,139684
1690035768803,140372
1690035768904,140500
1690035769006,140428
1690035769107,140556
1690035769209,144560
1690035769311,144688
1690035769412,144688
1690035769515,144464
1690035769618,144592
1690035769720,142344
1690035769821,142344
1690035769923,142344
1690035770025,142344
1690035770127,142272
1690035770228,142400
1690035770330,144360
1690035770432,144672
1690035770534,148328
1690035770636,145564
1690035770738,151180
1690035770839,154872
1690035770942,157304
1690035771044,161364
1690035771146,165500
1690035771248,165420
1690035771350,166016
1690035771452,167552
1690035771554,174220
1690035771656,178316
1690035771758,178364
1690035771859,179112
1690035771962,181760
1690035772063,183996
1690035772166,184128
1690035772270,184356
1690035772375,188168
1690035772478,188280
1690035772580,188724
1690035772683,196652
1690035772785,196620
1690035772886,197112
1690035772990,196792
1690035773092,197672
1690035773193,199044
1690035773295,202716
1690035773397,203472
1690035773500,207284
1690035773602,207796
1690035773704,212188
1690035773806,212100
1690035773907,212484
1690035774010,217052
1690035774113,217016
1690035774214,217268
1690035774316,217120
1690035774419,217248
1690035774520,215220
1690035774623,215220
1690035774726,216236
1690035774829,212620
1690035774932,212544
1690035775036,212208
1690035775142,211920
1690035775246,212368
1690035775350,213044
1690035775453,212992
1690035775558,212572
1690035775664,211856
1690035775771,212652
1690035775876,213144
1690035775982,212964
1690035776086,212548
1690035776193,212132
1690035776299,213524
1690035776404,213136
1690035776508,212444
1690035776612,212088
1690035776718,211908
1690035776825,213304
1690035776932,213088
1690035777039,212996
1690035777145,212676
1690035777251,212192
1690035777354,213472
1690035777457,213416
1690035777560,212848
1690035777667,211920
1690035777771,213200
1690035777877,213040
1690035777984,212128
1690035778090,212008
1690035778193,212892
1690035778297,213340
1690035778399,212476
1690035778501,212208
