time,kb
1690035812312,95224
1690035812414,95224
1690035812516,95224
1690035812619,95224
1690035812754,95224
1690035812861,95224
1690035812962,95224
1690035813064,95224
1690035813165,95224
1690035813269,95224
1690035813374,95224
1690035813476,97016
1690035813578,103420
1690035813680,105252
1690035813783,111312
1690035813885,113440
1690035813986,115788
1690035814089,115788
1690035814190,116172
1690035814292,116628
1690035814393,116628
1690035814495,117012
1690035814598,117488
1690035814700,117488
1690035814803,117488
1690035814905,117488
1690035815006,117488
1690035815108,117488
1690035815209,117488
1690035815311,117488
1690035815412,117488
1690035815514,117488
1690035815616,117488
1690035815718,117488
1690035815819,117488
1690035815921,117488
1690035816023,117488
1690035816124,117488
1690035816226,117488
1690035816327,117488
1690035816429,117488
1690035816530,117488
1690035816632,117488
1690035816734,117488
1690035816836,117488
1690035816937,117488
1690035817039,117488
1690035817140,117616
1690035817242,118000
1690035817344,118384
1690035817447,118768
1690035817551,119152
1690035817654,119536
1690035817761,119664
1690035817863,119664
1690035817964,119664
1690035818066,119664
1690035818167,119664
1690035818269,119664
1690035818371,119664
1690035818472,119664
1690035818574,119664
1690035818675,119664
1690035818778,119664
1690035818880,119664
1690035818981,119664
1690035819083,119664
1690035819184,119664
1690035819286,119664
1690035819387,119664
1690035819489,119664
1690035819590,119664
1690035819692,119664
1690035819794,119664
1690035819895,119664
1690035819997,119664
1690035820098,119664
1690035820200,119792
1690035820301,119792
1690035820403,122096
1690035820504,122488
1690035820606,122320
1690035820707,122376
1690035820809,122596
1690035820912,126340
1690035821014,126252
1690035821116,126272
1690035821218,126300
1690035821319,126972
1690035821421,126888
1690035821522,126772
1690035821625,126956
1690035821727,127008
1690035821828,127028
1690035821930,126944
1690035822032,127024
1690035822134,126948
1690035822235,126860
1690035822337,126944
1690035822439,126992
1690035822540,126944
1690035822642,126932
1690035822743,126956
1690035822845,126892
1690035822947,126948
1690035823048,126948
1690035823150,126944
1690035823252,126936
1690035823354,126940
1690035823455,126924
1690035823557,126912
1690035823658,126896
1690035823760,126924
1690035823862,126916
1690035823964,127172
1690035824067,126972
1690035824168,126956
1690035824270,126948
1690035824372,126968
1690035824474,126856
1690035824575,126888
1690035824677,126936
1690035824780,126856
1690035824881,127040
1690035824983,126924
1690035825085,127308
1690035825186,127120
1690035825288,127248
1690035825390,127180
1690035825491,127204
1690035825593,127224
1690035825695,127256
1690035825797,127284
1690035825898,127292
1690035826000,127396
1690035826102,127352
1690035826205,127296
1690035826307,127280
1690035826408,127284
1690035826511,127264
1690035826613,127272
1690035826714,127256
1690035826816,127368
1690035826918,127240
1690035827020,127344
1690035827122,126112
1690035827224,126160
1690035827325,126152
1690035827427,126176
1690035827528,126132
1690035827630,126188
1690035827732,126216
1690035827833,126084
1690035827935,126072
1690035828036,126128
1690035828138,126164
1690035828239,126196
1690035828341,126092
1690035828442,126148
1690035828544,126276
1690035828646,126120
1690035828748,126152
1690035828849,126208
1690035828951,126192
1690035829053,126448
1690035829154,126128
1690035829256,126160
1690035829359,126088
1690035829461,126140
1690035829562,126268
1690035829664,126104
1690035829766,126020
1690035829867,126024
1690035829969,126280
1690035830070,125960
1690035830173,126216
1690035830275,126264
1690035830376,126328
1690035830478,126540
1690035830580,126556
1690035830682,126540
1690035830784,126796
1690035830886,126736
1690035830988,126696
1690035831089,126780
1690035831191,126860
1690035831293,126936
1690035831394,126944
1690035831496,126972
1690035831598,126716
1690035831699,126900
1690035831801,126928
1690035831902,126988
1690035832004,127052
1690035832106,127072
1690035832207,127256
1690035832309,127220
1690035832411,127348
1690035832513,127276
1690035832614,127388
1690035832716,127412
1690035832817,127468
1690035832919,127600
1690035833024,132072
1690035833126,132224
1690035833227,132376
1690035833329,132384
1690035833431,132488
1690035833533,132356
1690035833636,132332
1690035833737,132456
1690035833839,132344
1690035833941,132476
1690035834043,132452
1690035834145,132240
1690035834247,132072
1690035834350,134076
1690035834452,142516
1690035834556,148524
1690035834658,151988
1690035834760,155096
1690035834861,159100
1690035834963,164064
1690035835066,169304
1690035835167,169300
1690035835269,169556
1690035835371,169852
1690035835474,169824
1690035835576,170328
1690035835678,176600
1690035835780,176516
1690035835882,176512
1690035835984,176768
1690035836086,176684
1690035836187,174660
1690035836289,175552
1690035836390,176176
1690035836492,178352
1690035836594,178264
1690035836695,178392
1690035836797,182404
1690035836898,182532
1690035837000,182456
1690035837101,186680
1690035837203,186680
1690035837305,186596
1690035837406,192868
1690035837509,194832
1690035837611,194960
1690035837713,198980
1690035837815,198980
1690035837916,198916
1690035838017,200500
1690035838119,198476
1690035838221,203040
1690035838322,204996
1690035838424,205124
1690035838526,203032
1690035838627,203032
1690035838729,202936
1690035838831,203064
1690035838932,205024
1690035839034,205280
1690035839135,203068
1690035839237,203048
1690035839338,205224
1690035839440,203088
1690035839541,205264
1690035839643,205196
1690035839744,205196
1690035839846,203260
1690035839947,203056
1690035840049,203048
1690035840151,205224
1690035840252,205140
1690035840354,205396
1690035840455,205316
1690035840557,205316
1690035840658,205444
1690035840760,203208
1690035840861,205384
1690035840963,205312
1690035841064,205440
1690035841166,205364
1690035841268,205252
1690035841369,205380
1690035841471,205316
1690035841573,205188
1690035841676,205316
1690035841778,205236
1690035841880,205364
1690035841981,205288
1690035842083,205416
1690035842184,205208
1690035842287,205336
1690035842388,205272
1690035842490,205400
1690035842591,209312
1690035842693,209312
1690035842795,209376
1690035842897,209452
1690035842998,204196
1690035843101,208552
1690035843203,213152
1690035843305,210656
1690035843407,211612
1690035843509,218244
1690035843611,220112
1690035843714,220044
1690035843816,220112
1690035843918,220368
1690035844020,220096
1690035844122,220148
1690035844224,220056
1690035844327,221156
1690035844429,226600
1690035844531,229100
1690035844633,232812
1690035844736,233196
1690035844837,236464
1690035844939,237300
1690035845042,239056
1690035845144,241448
1690035845246,241576
1690035845348,245900
1690035845449,246228
1690035845552,240520
1690035845655,241672
1690035845758,242000
1690035845860,247296
1690035845962,253660
1690035846065,262328
1690035846167,262476
1690035846269,262564
1690035846371,265464
1690035846476,270064
1690035846581,277872
1690035846684,278236
1690035846791,278308
1690035846894,282460
1690035846996,282288
1690035847099,290076
1690035847201,291356
1690035847303,295836
1690035847406,303980
1690035847508,305516
1690035847610,306480
1690035847711,314716
1690035847813,319744
1690035847915,320768
1690035848017,324788
1690035848123,332052
1690035848225,335300
1690035848327,339140
1690035848429,318920
1690035848531,319020
1690035848634,318940
1690035848736,319068
1690035848838,311324
1690035848940,311408
1690035849041,311496
1690035849143,313528
1690035849245,313380
1690035849348,313508
1690035849450,314908
1690035849556,315100
1690035849658,318948
1690035849760,320824
1690035849863,327260
1690035849966,329720
1690035850068,334200
1690035850170,335556
1690035850272,338628
1690035850374,337112
1690035850478,351016
1690035850581,353552
1690035850683,357904
1690035850786,359128
1690035850889,354480
1690035850990,360488
1690035851092,358464
1690035851194,358592
1690035851296,358572
1690035851398,360668
1690035851500,360652
1690035851602,360604
1690035851703,360732
1690035851805,360692
1690035851911,360760
1690035852013,332624
1690035852115,332624
1690035852216,332720
1690035852318,332836
1690035852421,332640
1690035852522,330652
1690035852624,330468
1690035852726,330724
1690035852829,332720
1690035852931,332520
1690035853033,332776
1690035853135,332424
1690035853237,332424
1690035853339,330336
1690035853441,330592
1690035853545,332820
1690035853647,333532
1690035853748,337372
1690035853850,343208
1690035853952,350760
1690035854054,353012
1690035854155,354548
1690035854257,360904
1690035854362,359036
1690035854468,356184
1690035854571,356420
1690035854673,355400
1690035854776,355308
1690035854879,355464
1690035854983,356600
1690035855085,356028
1690035855188,355656
1690035855293,355552
1690035855397,355732
1690035855502,356312
1690035855604,355764
1690035855709,355372
1690035855813,355012
1690035855918,355636
1690035856024,356100
1690035856129,355844
1690035856235,355468
1690035856340,355424
1690035856447,356448
1690035856552,355888
1690035856658,355708
1690035856761,355292
1690035856865,355472
1690035856970,356184
1690035857072,355760
1690035857175,354896
1690035857282,355752
1690035857386,356332
1690035857492,355848
1690035857596,355204
1690035857701,355412
1690035857805,355660
1690035857910,357056
1690035858011,366252
