obstacles_input,obstacles_after_unwrapping,obstacle_vertices_input,obstacle_vertices_after_unwrapping,road_vertices_input,road_vertices_after_merging,road_edges_input,road_edges_after_merging,other_vertices_input,visibility_edges_before_merging,visibility_edges_after_merging,from,to,distance_beeline,distance_route,min_time,max_time,avg_time,total_time_of_all_iterations,astar_avg_time,add_positions_to_graph_avg_time,restore_avg_time,min_mem_before,max_mem_before,avg_mem_before,min_mem_after,max_mem_after,avg_mem_after
3302,13009,35155,52214,2646,26660,1357,53596,21089,74270,126935,9.948 53.581,9.963 53.571,1497.617,1726.693,739.022,743.956,742.089,3710.445,72.69,77.964,591.026,780775424,780959744,780812288,940158976,940343296,940195840
3302,13009,35155,52214,2646,26660,1357,53596,21089,74270,126935,9.963 53.571,9.954 53.581,1297.274,1531.635,482.49,489.362,484.807,2424.035,65.38,64.435,354.716,768114688,768114688,768114688,843612160,843612160,843612160
3302,13009,35155,52214,2646,26660,1357,53596,21089,74270,126935,9.954 53.581,9.965 53.572,1243.703,1427.789,381.079,381.831,381.428,1907.139,72.171,54.966,254.027,776519680,776523776,776521318.4,822657024,822661120,822658662.4
3302,13009,35155,52214,2646,26660,1357,53596,21089,74270,126935,9.965 53.572,9.948 53.577,1198.478,1355.866,385.213,397.864,388.12,1940.602,55.942,57.716,273.251,772489216,772493312,772491673.6,814432256,814436352,814434713.6
3302,13009,35155,52214,2646,26660,1357,53596,21089,74270,126935,9.948 53.577,9.963 53.571,1153.15,1362.13,354.398,355.25,354.857,1774.283,71.193,67.728,215.782,772538368,776552448,775336755.2,808189952,812204032,810988339.2
3302,13009,35155,52214,2646,26660,1357,53596,21089,74270,126935,9.963 53.571,9.948 53.575,1098.082,1197.077,3076.74,3091.181,3083.363,15416.814,49.967,122.162,2910.976,552435712,556630016,554664755.2,555241472,557391872,556113920
3302,13009,35155,52214,2646,26660,1357,53596,21089,74270,126935,9.948 53.575,9.962 53.58,1045.132,1213.589,4233.857,4243.039,4237.918,21189.592,68.178,131.511,4038.051,569397248,571985920,569994444.8,568242176,570204160,569029427.2
3302,13009,35155,52214,2646,26660,1357,53596,21089,74270,126935,9.962 53.58,9.956 53.572,1003.623,1142.948,3176.73,3234.189,3201.414,16007.068,47.958,145.595,3007.71,566108160,570109952,568887705.6,568487936,568549376,568514969.6
3302,13009,35155,52214,2646,26660,1357,53596,21089,74270,126935,9.956 53.572,9.949 53.579,949.586,1098.5,6204.235,6235.477,6221.77,31108.85,63.187,192.163,5966.212,580849664,582946816,582118604.8,581165056,581632000,581348556.8
3302,13009,35155,52214,2646,26660,1357,53596,21089,74270,126935,9.949 53.579,9.963 53.579,899.769,1126.531,4573.645,4660.636,4630.229,23151.147,61.884,146.158,4422.008,557686784,570314752,566999449.6,555593728,568958976,566222848
3302,13009,35155,52214,2646,26660,1357,53596,21089,74270,126935,9.963 53.579,9.957 53.572,849.955,874.705,3302.591,3381.916,3351.304,16756.518,30.382,152.724,3168.04,566489088,570351616,569150668.8,568594432,569704448,568838553.6
3302,13009,35155,52214,2646,26660,1357,53596,21089,74270,126935,9.957 53.572,9.954 53.579,799.121,1201.847,2939.507,2996.77,2971.887,14859.436,71.342,134.232,2766.068,553660416,566947840,559057305.6,555765760,570454016,564578713.6
3302,13009,35155,52214,2646,26660,1357,53596,21089,74270,126935,9.954 53.579,9.951 53.573,749.167,1062.11,4043.549,4061.683,4053.389,20266.945,48.545,126.56,3878.09,556007424,556118016,556048384,557789184,557912064,557862092.8
3302,13009,35155,52214,2646,26660,1357,53596,21089,74270,126935,9.951 53.573,9.961 53.574,699.72,888.559,8609.754,8694.842,8652.063,43260.315,46.586,245.004,8360.25,592355328,602390528,594503270.4,596750336,603095040,598163456
3302,13009,35155,52214,2646,26660,1357,53596,21089,74270,126935,9.961 53.574,9.955 53.579,649.627,765.532,4710.963,4804.314,4759.352,23796.758,45.152,199.53,4514.534,554754048,583163904,571258470.4,556859392,583262208,572447948.8
3302,13009,35155,52214,2646,26660,1357,53596,21089,74270,126935,9.955 53.579,9.955 53.573,599.467,712.629,1510.205,1537.574,1517.22,7586.101,36.981,164.394,1315.722,605384704,609579008,608737689.6,632643584,632647680,632645222.4
3302,13009,35155,52214,2646,26660,1357,53596,21089,74270,126935,9.955 53.573,9.959 53.578,550.109,780.268,3208.009,3224.275,3214.94,16074.702,54.171,226.505,2934.148,553705472,559423488,556610355.2,557326336,559443968,558179123.2
3302,13009,35155,52214,2646,26660,1357,53596,21089,74270,126935,9.959 53.578,9.96 53.573,499.74,632.474,2226.328,2233.13,2228.354,11141.77,33.62,155.339,2039.288,550973440,555171840,554328883.2,557264896,557273088,557267353.6
3302,13009,35155,52214,2646,26660,1357,53596,21089,74270,126935,9.96 53.573,9.956 53.576,449.642,622.553,5245.923,5274.145,5264.626,26323.132,34.169,234.974,4995.37,570142720,585142272,578380595.2,572235776,588972032,580833280
3302,13009,35155,52214,2646,26660,1357,53596,21089,74270,126935,9.956 53.576,9.951 53.574,400.337,549.265,8514.613,8542.364,8525.733,42628.663,27.614,279.851,8218.158,576888832,603144192,590562918.4,585900032,603369472,596349747.2
3302,13009,35155,52214,2646,26660,1357,53596,21089,74270,126935,9.951 53.574,9.957 53.574,349.744,406.741,5615.144,5790.601,5709.656,28548.281,26.361,193.429,5489.788,570499072,590598144,575616614.4,570322944,590409728,575067750.4
3302,13009,35155,52214,2646,26660,1357,53596,21089,74270,126935,9.957 53.574,9.957 53.577,299.824,333.845,4212.83,4335.607,4280.947,21404.735,11.612,211.314,4057.961,551272448,572342272,561541939.2,557641728,571109376,565675622.4
3302,13009,35155,52214,2646,26660,1357,53596,21089,74270,126935,9.957 53.577,9.954 53.578,249.953,256.549,3413.589,3433.215,3423.254,17116.27,5.11,190.091,3227.965,572604416,573173760,572832153.6,572301312,572690432,572475801.6
3302,13009,35155,52214,2646,26660,1357,53596,21089,74270,126935,9.954 53.578,9.952 53.576,200.038,243.896,4413.692,4475.26,4452.911,22264.554,7.122,169.006,4276.733,554192896,572407808,563731660.8,557731840,571113472,565756723.2
3302,13009,35155,52214,2646,26660,1357,53596,21089,74270,126935,9.952 53.576,9.954 53.575,150.348,183.061,3337.629,3352.124,3344.781,16723.904,3.364,133.612,3207.754,553738240,560332800,557607321.6,559689728,561893376,560586752
3302,13009,35155,52214,2646,26660,1357,53596,21089,74270,126935,9.954 53.575,9.954 53.574,100.102,188.664,6039.729,6069.763,6054.795,30273.977,1.597,255.925,5797.225,568836096,590946304,585409331.2,589627392,590278656,589968179.2
