obstacles_input,obstacles_after_unwrapping,obstacle_vertices_input,obstacle_vertices_after_unwrapping,road_vertices_input,road_vertices_after_merging,road_edges_input,road_edges_after_merging,other_vertices_input,visibility_edges_before_merging,visibility_edges_after_merging,from,to,distance_beeline,distance_route,min_time,max_time,avg_time,total_time_of_all_iterations,astar_avg_time,add_positions_to_graph_avg_time,restore_avg_time,min_mem_before,max_mem_before,avg_mem_before,min_mem_after,max_mem_after,avg_mem_after
3293,24355,34214,97400,6031,89508,2784,180018,40898,90768,316199,9.947 53.57,9.967 53.583,2001.624,2203.634,887.646,895.495,890.553,4452.763,245.867,569.388,74.343,2045042688,2098229248,2075846246.4,2103472128,2127589376,2113176371.2
3293,24355,34214,97400,6031,89508,2784,180018,40898,90768,316199,9.967 53.583,9.944 53.573,1901.386,2131.723,782.34,791.909,787.664,3938.319,240.454,473.432,73.265,2079047680,2079059968,2079054233.6,2093727744,2093740032,2093735116.8
3293,24355,34214,97400,6031,89508,2784,180018,40898,90768,316199,9.944 53.573,9.965 53.583,1796.425,1979.156,625.294,633.975,629.07,3145.35,237.292,319.99,71.3,1452937216,1452949504,1452947046.4,1467625472,1467629568,1467628748.8
3293,24355,34214,97400,6031,89508,2784,180018,40898,90768,316199,9.965 53.583,9.96 53.568,1697.678,1952.53,596.29,628.234,606.608,3033.038,223.782,309.876,72.203,1453522944,1453654016,1453552435.2,1468207104,1468334080,1468259532.8
3293,24355,34214,97400,6031,89508,2784,180018,40898,90768,316199,9.96 53.568,9.948 53.581,1602.868,1850.125,613.838,633.26,621.91,3109.548,212.414,338.958,70.104,1454493696,1454493696,1454493696,1473368064,1473368064,1473368064
3293,24355,34214,97400,6031,89508,2784,180018,40898,90768,316199,9.948 53.581,9.963 53.571,1497.617,1756.37,590.046,592.488,591.227,2956.136,225.104,295.56,70.187,1454960640,1454960640,1454960640,1469640704,1469640704,1469640704
3293,24355,34214,97400,6031,89508,2784,180018,40898,90768,316199,9.963 53.571,9.954 53.581,1297.274,1552.436,500.772,503.906,502.14,2510.7,192.506,239.393,69.798,1455390720,1455398912,1455395635.2,1470070784,1470078976,1470075699.2
3293,24355,34214,97400,6031,89508,2784,180018,40898,90768,316199,9.954 53.581,9.964 53.572,1240.606,1663.255,495.724,498.947,497.107,2485.535,244.648,183.127,68.969,1455968256,1455968256,1455968256,1470648320,1470648320,1470648320
3293,24355,34214,97400,6031,89508,2784,180018,40898,90768,316199,9.964 53.572,9.948 53.577,1193.542,1588.501,433.628,435.211,434.282,2171.408,166.663,198.195,69.079,1460809728,1460809728,1460809728,1475489792,1475489792,1475489792
3293,24355,34214,97400,6031,89508,2784,180018,40898,90768,316199,9.948 53.577,9.963 53.571,1153.15,1410.647,572.695,581.093,576.107,2880.537,228.709,277.647,69.493,1461612544,1461620736,1461617459.2,1476292608,1476300800,1476297523.2
3293,24355,34214,97400,6031,89508,2784,180018,40898,90768,316199,9.963 53.571,9.948 53.575,1098.082,1239.415,675.363,691.913,681.296,3406.478,145.534,463.565,71.751,1461972992,1461972992,1461972992,1476653056,1476653056,1476653056
3293,24355,34214,97400,6031,89508,2784,180018,40898,90768,316199,9.948 53.575,9.962 53.58,1045.132,1217.764,728.62,737.212,733.94,3669.7,212.083,449.874,71.743,1458323456,1458327552,1458325094.4,1477197824,1477201920,1477199462.4
3293,24355,34214,97400,6031,89508,2784,180018,40898,90768,316199,9.962 53.58,9.956 53.572,1003.623,1142.994,695.138,700.267,698.357,3491.783,121.906,504.099,72.102,1458618368,1462812672,1459459686.4,1477492736,1481691136,1479172915.2
3293,24355,34214,97400,6031,89508,2784,180018,40898,90768,316199,9.956 53.572,9.949 53.579,949.586,1104.009,965.41,974.648,969.99,4849.95,190.615,705.689,73.316,1463324672,1463324672,1463324672,1482199040,1482199040,1482199040
3293,24355,34214,97400,6031,89508,2784,180018,40898,90768,316199,9.949 53.579,9.963 53.579,899.769,1071.609,712.81,716.232,715.006,3575.029,148.391,493.97,72.444,1463713792,1463721984,1463716249.6,1478393856,1478402048,1478396313.6
3293,24355,34214,97400,6031,89508,2784,180018,40898,90768,316199,9.963 53.579,9.957 53.572,849.955,874.751,843.837,858.033,851.156,4255.781,64.139,712.725,74.03,1464631296,1464635392,1464632934.4,1479311360,1483505664,1480151859.2
3293,24355,34214,97400,6031,89508,2784,180018,40898,90768,316199,9.957 53.572,9.954 53.579,799.121,1188.373,953.834,961.838,959.446,4797.229,205.472,680.248,73.349,1465126912,1465135104,1465131008,1479806976,1479815168,1479811072
3293,24355,34214,97400,6031,89508,2784,180018,40898,90768,316199,9.954 53.579,9.951 53.573,749.167,1062.11,609.271,615.24,612.052,3060.261,122.473,417.285,71.994,1465671680,1465671680,1465671680,1480351744,1480351744,1480351744
3293,24355,34214,97400,6031,89508,2784,180018,40898,90768,316199,9.951 53.573,9.961 53.574,699.72,888.248,971.329,1168.37,1015.145,5075.724,151.616,780.916,82.249,1466150912,1466159104,1466152550.4,1480830976,1480839168,1480832614.4
3293,24355,34214,97400,6031,89508,2784,180018,40898,90768,316199,9.961 53.574,9.955 53.579,649.627,765.602,787.947,805.528,794.765,3973.826,126.411,595.33,72.82,1462706176,1466900480,1463545856,1481580544,1485774848,1482419404.8
3293,24355,34214,97400,6031,89508,2784,180018,40898,90768,316199,9.955 53.579,9.955 53.573,599.467,712.629,682.756,695.654,688.103,3440.517,68.88,547.903,71.125,1467478016,1467482112,1467478835.2,1482158080,1482162176,1482158899.2
