obstacles_input,obstacles_after_unwrapping,obstacle_vertices_input,obstacle_vertices_after_unwrapping,road_vertices_input,road_vertices_after_merging,road_edges_input,road_edges_after_merging,other_vertices_input,visibility_edges_before_merging,visibility_edges_after_merging,from,to,distance_beeline,distance_route,min_time,max_time,avg_time,total_time_of_all_iterations,astar_avg_time,add_positions_to_graph_avg_time,restore_avg_time,min_mem_before,max_mem_before,avg_mem_before,min_mem_after,max_mem_after,avg_mem_after
0,0,0,0,820,810,178,1658,820,0,0,10.128 53.434,10.155 53.45,2504.915,2589.832,63.318,64.808,64.151,320.755,4.026,53.6,6.466,116072448,137957376,128890470.4,134946816,141238272,137175040
0,0,0,0,820,810,178,1658,820,0,0,10.155 53.45,10.133 53.434,2308.933,2370.4,51.445,57.865,55.256,276.278,3.142,46.174,5.883,118370304,141967360,132476108.8,139739136,144064512,142254899.2
0,0,0,0,820,810,178,1658,820,0,0,10.133 53.434,10.155 53.449,2202.373,2251.272,53.552,55.319,54.585,272.923,1.951,47.489,5.113,126050304,144924672,137374924.8,142827520,147021824,145344102.4
0,0,0,0,820,810,178,1658,820,0,0,10.155 53.449,10.133 53.435,2101.728,2145.145,53.737,55.633,54.582,272.909,1.735,47.593,5.212,130588672,149463040,141912473.6,147365888,151560192,149882470.4
0,0,0,0,820,810,178,1658,820,0,0,10.133 53.435,10.153 53.449,2007.993,2016.414,52.251,54.646,53.295,266.476,1.592,46.559,5.116,130752512,149626880,142077132.8,147529728,151724032,150046310.4
0,0,0,0,820,810,178,1658,820,0,0,10.153 53.449,10.13 53.439,1907.436,1943.535,69.393,71.329,70.441,352.207,1.952,62.131,6.332,129081344,150052864,140827033.6,150052864,166830080,156765388.8
0,0,0,0,820,810,178,1658,820,0,0,10.13 53.439,10.151 53.449,1802.14,1817.56,73.508,75.856,74.287,371.436,1.975,65.742,6.543,146288640,173551616,154257817.6,171454464,175648768,172293324.8
0,0,0,0,820,810,178,1658,820,0,0,10.151 53.449,10.146 53.434,1703.08,1759.617,56.957,59.31,57.828,289.14,1.627,50.96,5.217,156999680,175874048,168324300.8,173776896,175874048,175035187.2
0,0,0,0,820,810,178,1658,820,0,0,10.146 53.434,10.134 53.446,1607.968,1692.265,92.237,93.299,92.812,464.062,1.773,82.702,8.308,163770368,163770368,163770368,182775808,182775808,182775808
0,0,0,0,820,810,178,1658,820,0,0,10.134 53.446,10.149 53.436,1502.382,1580.331,100.89,102.679,101.721,508.604,2.539,89.939,9.213,165339136,165339136,165339136,184213504,184213504,184213504
