obstacles_input,obstacles_after_unwrapping,obstacle_vertices_input,obstacle_vertices_after_unwrapping,road_vertices_input,road_vertices_after_merging,road_edges_input,road_edges_after_merging,other_vertices_input,visibility_edges_before_merging,visibility_edges_after_merging,from,to,distance_beeline,distance_route,min_time,max_time,avg_time,total_time_of_all_iterations,astar_avg_time,add_positions_to_graph_avg_time,restore_avg_time,min_mem_before,max_mem_before,avg_mem_before,min_mem_after,max_mem_after,avg_mem_after
849,3760,6055,14784,0,0,0,0,5731,46970,46970,10.128 53.434,10.155 53.45,2504.915,3299.784,67.829,70.578,69.017,345.085,15.077,49.723,3.986,237375488,241582080,240733388.8,239472640,243679232,242830540.8
849,3760,6055,14784,0,0,0,0,5731,46970,46970,10.155 53.45,10.133 53.434,2308.933,3706.628,60.912,62.109,61.299,306.497,15.762,41.543,3.951,245026816,245030912,245030092.8,247123968,247128064,247127244.8
849,3760,6055,14784,0,0,0,0,5731,46970,46970,10.133 53.434,10.155 53.449,2202.373,3946.488,49.984,52.435,50.623,253.117,15.157,31.751,3.668,250028032,250159104,250080460.8,252125184,252256256,252177612.8
849,3760,6055,14784,0,0,0,0,5731,46970,46970,10.155 53.449,10.133 53.435,2101.728,4072.074,45.922,58.865,48.591,242.953,16.683,27.162,3.656,250576896,250580992,250577715.2,252674048,252678144,252674867.2
849,3760,6055,14784,0,0,0,0,5731,46970,46970,10.133 53.435,10.153 53.449,2007.993,3893.23,42.802,42.891,42.851,214.253,14.658,24.567,3.588,251027456,251027456,251027456,253124608,253124608,253124608
849,3760,6055,14784,0,0,0,0,5731,46970,46970,10.153 53.449,10.13 53.439,1907.436,2839.447,61.128,61.42,61.299,306.497,12.093,45.459,3.711,251400192,251404288,251401830.4,257691648,257695744,257693286.4
849,3760,6055,14784,0,0,0,0,5731,46970,46970,10.13 53.439,10.151 53.449,1802.14,2516.915,72.489,73.548,72.786,363.928,14.36,54.623,3.769,251301888,251301888,251301888,257593344,257593344,257593344
849,3760,6055,14784,0,0,0,0,5731,46970,46970,10.151 53.449,10.146 53.434,1703.08,2280.978,44.179,45.125,44.398,221.989,10.319,30.425,3.622,251445248,251445248,251445248,257736704,257736704,257736704
849,3760,6055,14784,0,0,0,0,5731,46970,46970,10.146 53.434,10.134 53.446,1607.968,1818.349,71.873,71.979,71.92,359.601,3.161,65.028,3.704,249778176,249778176,249778176,251875328,251875328,251875328
849,3760,6055,14784,0,0,0,0,5731,46970,46970,10.134 53.446,10.149 53.436,1502.382,1601.816,82.987,83.198,83.1,415.499,13.565,65.756,3.749,250150912,250150912,250150912,252248064,252248064,252248064
