obstacles_input,obstacles_after_unwrapping,obstacle_vertices_input,obstacle_vertices_after_unwrapping,road_vertices_input,road_vertices_after_merging,road_edges_input,road_edges_after_merging,other_vertices_input,visibility_edges_before_merging,visibility_edges_after_merging,from,to,distance_beeline,distance_route,min_time,max_time,avg_time,total_time_of_all_iterations,astar_avg_time,add_positions_to_graph_avg_time,restore_avg_time,min_mem_before,max_mem_before,avg_mem_before,min_mem_after,max_mem_after,avg_mem_after
397,1012,2920,3987,275,5150,57,10298,1726,14646,26003,10.134 53.446,10.149 53.436,1502.382,1632.345,145.857,151.07,147.456,737.279,14.459,40.28,92.396,222638080,222642176,222638899.2,256192512,256327680,256219545.6
397,1012,2920,3987,275,5150,57,10298,1726,14646,26003,10.149 53.436,10.14 53.446,1301.401,1386.276,337.905,339.464,338.591,1692.954,13.214,102.215,223.071,271912960,271912960,271912960,334827520,334827520,334827520
397,1012,2920,3987,275,5150,57,10298,1726,14646,26003,10.14 53.446,10.15 53.437,1247.659,1380.307,427.631,430.029,428.666,2143.332,16.046,110.703,301.823,294817792,294936576,294912819.2,374628352,374628352,374628352
397,1012,2920,3987,275,5150,57,10298,1726,14646,26003,10.15 53.437,10.134 53.442,1202.291,1429.266,138.385,140.04,139.166,695.83,12.44,26.009,100.585,313880576,313880576,313880576,343240704,343240704,343240704
397,1012,2920,3987,275,5150,57,10298,1726,14646,26003,10.134 53.442,10.149 53.436,1156.818,1391.365,57.113,57.588,57.32,286.601,13.642,18.848,24.721,320225280,320229376,320226918.4,324419584,324423680,324421222.4
397,1012,2920,3987,275,5150,57,10298,1726,14646,26003,10.149 53.436,10.134 53.441,1101.575,1333.307,50.718,51.077,50.899,254.493,11.999,14.528,24.263,318185472,318185472,318185472,320282624,320282624,320282624
397,1012,2920,3987,275,5150,57,10298,1726,14646,26003,10.134 53.441,10.148 53.446,1048.457,1243.361,93.542,93.885,93.783,468.916,14.095,21.779,57.789,316121088,316121088,316121088,334995456,334995456,334995456
397,1012,2920,3987,275,5150,57,10298,1726,14646,26003,10.148 53.446,10.141 53.437,1006.816,1093.273,115.534,116.249,115.835,579.177,11.107,28.407,76.27,318251008,318255104,318254284.8,343416832,343420928,343420108.8
397,1012,2920,3987,275,5150,57,10298,1726,14646,26003,10.141 53.437,10.135 53.445,952.607,1100.208,155.995,157.434,156.414,782.068,12.367,71.748,72.066,316194816,316194816,316194816,349749248,349749248,349749248
397,1012,2920,3987,275,5150,57,10298,1726,14646,26003,10.135 53.445,10.149 53.444,902.632,1095.497,131.007,132.377,131.556,657.779,13.145,64.14,54.212,316276736,316276736,316276736,341442560,341442560,341442560
397,1012,2920,3987,275,5150,57,10298,1726,14646,26003,10.149 53.444,10.143 53.437,852.659,1058.782,72.596,72.972,72.849,364.245,9.463,37.314,26.025,316289024,316289024,316289024,322580480,322580480,322580480
397,1012,2920,3987,275,5150,57,10298,1726,14646,26003,10.143 53.437,10.14 53.444,801.663,809.32,361.025,362.21,361.526,1807.63,10.041,131.364,220.074,310185984,310185984,310185984,377294848,377294848,377294848
397,1012,2920,3987,275,5150,57,10298,1726,14646,26003,10.14 53.444,10.136 53.438,751.55,829.95,322.619,331.069,324.858,1624.291,14.751,110.31,199.69,308133888,312328192,311489331.2,375242752,375242752,375242752
397,1012,2920,3987,275,5150,57,10298,1726,14646,26003,10.136 53.438,10.147 53.439,701.946,747.489,127.877,128.988,128.467,642.335,11.161,30.005,87.261,325115904,325120000,325119180.8,354476032,354480128,354479308.8
397,1012,2920,3987,275,5150,57,10298,1726,14646,26003,10.147 53.439,10.141 53.444,651.693,782.74,341.193,342.178,341.735,1708.675,8.035,118.407,215.244,308494336,308494336,308494336,375603200,375603200,375603200
397,1012,2920,3987,275,5150,57,10298,1726,14646,26003,10.141 53.444,10.14 53.439,601.374,601.391,510.159,513.043,512.11,2560.549,12.98,179.266,319.826,302338048,306532352,304854630.4,398807040,398807040,398807040
397,1012,2920,3987,275,5150,57,10298,1726,14646,26003,10.14 53.439,10.144 53.443,551.859,578.608,386.55,387.874,387.074,1935.371,7.057,127.702,252.2,327528448,327532544,327531724.8,398831616,398835712,398834892.8
397,1012,2920,3987,275,5150,57,10298,1726,14646,26003,10.144 53.443,10.145 53.438,501.33,661.979,208.32,209.162,208.876,1044.378,9.387,81.998,117.426,346423296,346423296,346423296,388366336,388366336,388366336
397,1012,2920,3987,275,5150,57,10298,1726,14646,26003,10.145 53.438,10.142 53.442,451.072,493.159,361.947,365.524,362.974,1814.871,2.191,122.661,238.065,332197888,332197888,332197888,399306752,399306752,399306752
397,1012,2920,3987,275,5150,57,10298,1726,14646,26003,10.142 53.442,10.137 53.439,401.61,401.61,416.212,418.619,417.337,2086.683,7.187,141.063,269.049,319619072,319623168,319622348.8,399310848,399314944,399314124.8
397,1012,2920,3987,275,5150,57,10298,1726,14646,26003,10.137 53.439,10.142 53.439,350.857,365.987,171.137,172.78,171.894,859.469,4.074,63.897,103.89,338370560,338485248,338462310.4,376233984,376233984,376233984
397,1012,2920,3987,275,5150,57,10298,1726,14646,26003,10.142 53.439,10.143 53.442,300.778,326.364,139.832,140.539,140.299,701.495,2.561,43.475,94.23,344788992,344788992,344788992,374149120,374149120,374149120
397,1012,2920,3987,275,5150,57,10298,1726,14646,26003,10.143 53.442,10.14 53.443,250.748,251.565,362.414,363.873,363.042,1815.21,2.182,125.631,235.191,328060928,332255232,331416371.2,399364096,399364096,399364096
397,1012,2920,3987,275,5150,57,10298,1726,14646,26003,10.14 53.443,10.138 53.441,200.674,211.774,467.096,469.035,468.085,2340.424,3.379,146.869,317.742,311316480,311316480,311316480,399396864,399396864,399396864
397,1012,2920,3987,275,5150,57,10298,1726,14646,26003,10.138 53.441,10.14 53.441,150.826,154.807,546.992,555.436,552.172,2760.861,3.42,160.484,388.232,319725568,319729664,319728844.8,420388864,420392960,420392140.8
397,1012,2920,3987,275,5150,57,10298,1726,14646,26003,10.14 53.441,10.14 53.44,100.421,100.421,681.426,685.225,683.049,3415.244,0.937,236.822,445.261,342904832,342908928,342908108.8,464539648,464543744,464542924.8
