obstacles_input,obstacles_after_unwrapping,obstacle_vertices_input,obstacle_vertices_after_unwrapping,road_vertices_input,road_vertices_after_merging,road_edges_input,road_edges_after_merging,other_vertices_input,visibility_edges_before_merging,visibility_edges_after_merging,from,to,distance_beeline,distance_route,min_time,max_time,avg_time,total_time_of_all_iterations,astar_avg_time,add_positions_to_graph_avg_time,restore_avg_time,min_mem_before,max_mem_before,avg_mem_before,min_mem_after,max_mem_after,avg_mem_after
323,1418,2265,5546,361,8180,84,16356,2459,15986,38890,10.134 53.446,10.149 53.436,1502.382,1632.344,99.531,105.808,103.184,515.919,24.732,71.88,6.178,258088960,258088960,258088960,260186112,260317184,260212326.4
323,1418,2265,5546,361,8180,84,16356,2459,15986,38890,10.149 53.436,10.14 53.446,1301.401,1386.276,196.243,204.188,200.102,1000.51,20.474,171.879,7.639,259813376,259817472,259816652.8,284979200,284983296,284982476.8
323,1418,2265,5546,361,8180,84,16356,2459,15986,38890,10.14 53.446,10.15 53.437,1247.659,1373.735,221.624,224.002,222.34,1111.702,26.47,186.989,8.776,260526080,260526080,260526080,289886208,289886208,289886208
323,1418,2265,5546,361,8180,84,16356,2459,15986,38890,10.15 53.437,10.134 53.442,1202.291,1606.315,78.296,79.436,78.653,393.263,22.456,49.603,6.2,264933376,264933376,264933376,267030528,267030528,267030528
323,1418,2265,5546,361,8180,84,16356,2459,15986,38890,10.134 53.442,10.149 53.436,1156.818,1574.986,63.921,69.003,65.077,325.383,23.649,35.673,5.385,265211904,265216000,265213542.4,267309056,267313152,267310694.4
323,1418,2265,5546,361,8180,84,16356,2459,15986,38890,10.149 53.436,10.134 53.441,1101.575,1458.715,55.23,55.551,55.365,276.825,22.675,27.526,5.132,271749120,271749120,271749120,278040576,278040576,278040576
323,1418,2265,5546,361,8180,84,16356,2459,15986,38890,10.134 53.441,10.148 53.446,1048.457,1548.056,66.154,66.555,66.271,331.353,22.865,38.151,5.158,266399744,266399744,266399744,272691200,272691200,272691200
323,1418,2265,5546,361,8180,84,16356,2459,15986,38890,10.148 53.446,10.141 53.437,1006.816,1098.755,69.023,69.502,69.302,346.51,15.18,48.623,5.455,269504512,269504512,269504512,271601664,271601664,271601664
323,1418,2265,5546,361,8180,84,16356,2459,15986,38890,10.141 53.437,10.135 53.445,952.607,1100.207,139.347,139.703,139.538,697.692,18.303,115.266,5.694,270176256,270176256,270176256,278564864,278564864,278564864
323,1418,2265,5546,361,8180,84,16356,2459,15986,38890,10.135 53.445,10.149 53.444,902.632,1087.254,129.405,130.471,129.704,648.519,22.474,101.659,5.529,268541952,268546048,268545228.8,274833408,274837504,274836684.8
323,1418,2265,5546,361,8180,84,16356,2459,15986,38890,10.149 53.444,10.143 53.437,852.659,1059.065,84.929,85.911,85.279,426.394,13.041,65.543,6.653,271302656,271302656,271302656,273399808,273399808,273399808
