obstacles_input,obstacles_after_unwrapping,obstacle_vertices_input,obstacle_vertices_after_unwrapping,road_vertices_input,road_vertices_after_merging,road_edges_input,road_edges_after_merging,other_vertices_input,visibility_edges_before_merging,visibility_edges_after_merging,from,to,distance_beeline,distance_route,min_time,max_time,avg_time,total_time_of_all_iterations,astar_avg_time,add_positions_to_graph_avg_time,restore_avg_time,min_mem_before,max_mem_before,avg_mem_before,min_mem_after,max_mem_after,avg_mem_after
384,27264,28416,109056,0,0,0,0,28032,637958,637958,0.072 0.934,0.25 0.757,27898.646,27949.833,8027.498,8272.384,8219.655,41098.273,19.174,8135.958,64.126,1125531648,2316926976,1629564108.8,1159483392,2475089920,1482207232
384,27264,28416,109056,0,0,0,0,28032,637958,637958,0.25 0.757,0.666 0.99,52964.967,53741.371,7817.639,7830.654,7824.736,39123.681,140.922,7619.911,63.846,911949824,947924992,931105177.6,995610624,1025929216,1007060582.4
384,27264,28416,109056,0,0,0,0,28032,637958,637958,0.666 0.99,0.665 0.752,26483.601,26524.221,7094.323,7105.704,7099.467,35497.337,21.321,7019.382,58.717,999018496,1001656320,1000560230.4,1008168960,1009901568,1009319936
384,27264,28416,109056,0,0,0,0,28032,637958,637958,0.665 0.752,0.997 0.794,37187.531,37688.404,7183.328,7204.7,7194.435,35972.173,97.506,7039.759,56.868,999899136,1000816640,1000279244.8,1032318976,1034063872,1033385574.4
384,27264,28416,109056,0,0,0,0,28032,637958,637958,0.997 0.794,0.663 0.468,51838.056,52693.655,6756.828,6766.508,6760.712,33803.56,66.47,6634.957,59.238,1001078784,1003073536,1001912729.6,1009799168,1013321728,1012188774.4
384,27264,28416,109056,0,0,0,0,28032,637958,637958,0.663 0.468,0.436 0.706,36542.459,36557.247,8931.653,9150.179,8976.91,44884.551,102.032,8803.629,71.208,945717248,947142656,946388992,988471296,1017237504,1005778534.4
384,27264,28416,109056,0,0,0,0,28032,637958,637958,0.436 0.706,0.474 0.491,24256.037,25419.659,9839.94,9870.002,9850.47,49252.352,41.364,9743.507,65.555,946442240,959926272,954526105.6,993734656,1007820800,1001992192
384,27264,28416,109056,0,0,0,0,28032,637958,637958,0.474 0.491,0.151 0.565,36834.857,37211.756,9786.124,9822.187,9807.783,49038.917,107.008,9632.819,67.908,806408192,810676224,807539507.2,806981632,808370176,807260979.2
384,27264,28416,109056,0,0,0,0,28032,637958,637958,0.151 0.565,0.243 0.754,23378.555,24288.166,9466.815,9490.469,9478.005,47390.023,34.151,9380.895,62.903,900317184,967913472,943402188.8,944496640,1044742144,993120256
384,27264,28416,109056,0,0,0,0,28032,637958,637958,0.243 0.754,0.153 0.363,44652.577,45846.078,9338.424,9398.311,9356.385,46781.927,107.746,9185.488,63.099,821055488,825409536,822535782.4,854065152,860700672,857387827.2
384,27264,28416,109056,0,0,0,0,28032,637958,637958,0.153 0.363,0.491 0.497,40445.661,41195.742,10385.063,10402.005,10391.115,51955.574,88.511,10236.27,66.282,877133824,952320000,918194585.6,933093376,990457856,961910374.4
384,27264,28416,109056,0,0,0,0,28032,637958,637958,0.491 0.497,0.684 0.33,28307.092,28361.42,10295.615,10345.411,10315.441,51577.205,56.213,10185.735,73.45,779108352,782606336,780630425.6,786214912,793071616,788558643.2
384,27264,28416,109056,0,0,0,0,28032,637958,637958,0.684 0.33,0.932 0.451,30667.017,30826.439,9056.885,9157.827,9099.297,45496.483,66.961,8961.855,70.436,817135616,825438208,823608934.4,887422976,888242176,887693312
384,27264,28416,109056,0,0,0,0,28032,637958,637958,0.932 0.451,0.69 0.324,30332.409,30582.587,8940.943,8958.093,8949.266,44746.33,36.919,8843.717,68.587,864833536,904880128,886424371.2,947519488,989118464,972013568
384,27264,28416,109056,0,0,0,0,28032,637958,637958,0.69 0.324,0.746 0.259,9567.805,9705.856,9041.693,9069.177,9055.573,45277.867,4.003,8987.351,64.183,925433856,926101504,925831987.2,991076352,992694272,992215040
384,27264,28416,109056,0,0,0,0,28032,637958,637958,0.746 0.259,0.664 0.05,25080.111,26015.15,8723.138,8858.246,8757.356,43786.78,43.123,8646.543,67.64,906952704,941568000,924154265.6,973037568,1025310720,1001022259.2
384,27264,28416,109056,0,0,0,0,28032,637958,637958,0.664 0.05,0.35 0.663,76627.511,77568.225,8637.743,8655.766,8646.321,43231.605,196.347,8387.082,62.833,944312320,946114560,944948019.2,1018732544,1022369792,1020376678.4
384,27264,28416,109056,0,0,0,0,28032,637958,637958,0.35 0.663,0.33 0.251,45817.554,46768.467,8104.511,8115.984,8110.265,40551.323,159.251,7887.774,63.193,933068800,950181888,946628198.4,1000165376,1032785920,1021575168
384,27264,28416,109056,0,0,0,0,28032,637958,637958,0.33 0.251,0.403 0.182,11148.138,11168.226,8088.221,8102.072,8092.438,40462.192,5.577,8021.935,64.891,993472512,994279424,993800192,998486016,1031303168,1011669401.6
384,27264,28416,109056,0,0,0,0,28032,637958,637958,0.403 0.182,0.336 0.172,7472.361,7954.539,8303.4,8490.571,8341.904,41709.521,3.058,8280.508,58.299,967389184,969523200,969096396.8,1013805056,1046396928,1020773171.2
384,27264,28416,109056,0,0,0,0,28032,637958,637958,0.336 0.172,0.133 0.048,26464.881,26513.937,7665.009,7671.944,7668.823,38344.113,41.444,7563.136,64.199,1003417600,1006174208,1005062553.6,1027637248,1027784704,1027695411.2
