obstacles_input,obstacles_after_unwrapping,obstacle_vertices_input,obstacle_vertices_after_unwrapping,road_vertices_input,road_vertices_after_merging,road_edges_input,road_edges_after_merging,other_vertices_input,visibility_edges_before_merging,visibility_edges_after_merging,from,to,distance_beeline,distance_route,min_time,max_time,avg_time,total_time,astar_avg_time,add_positions_to_graph_avg_time,restore_avg_time,min_mem_before,max_mem_before,avg_mem_before,min_mem_after,max_mem_after,avg_mem_after
171,171,549,549,0,0,0,0,447,2140,2140,1.143 8.739,2.977 7.989,218389.675,404689.541,2.13,2.017,2.455,10.65,0.164,1.776,0.033,127889408,131948544,128806092.8,128544768,131948544,129382809.6
171,171,549,549,0,0,0,0,447,2140,2140,2.977 7.989,6.625 9.368,429256.579,486668.477,2.381,2.001,2.777,11.904,0.298,1.861,0.045,130400256,149139456,135477657.6,131055616,149139456,136001945.6
171,171,549,549,0,0,0,0,447,2140,2140,6.625 9.368,6.636 7.106,251462.34,288556.404,1.639,1.349,1.781,8.196,0.059,1.407,0.022,135589888,154329088,142273740.8,136245248,154329088,142798028.8
171,171,549,549,0,0,0,0,447,2140,2140,6.636 7.106,8.317 7.215,185846.149,328348.982,1.545,1.361,1.621,7.725,0.051,1.324,0.024,140554240,155103232,145563648,141209600,155103232,146087936
171,171,549,549,0,0,0,0,447,2140,2140,8.317 7.215,6.625 4.626,343407.245,356751.057,1.659,1.428,1.742,8.293,0.061,1.434,0.024,143826944,158371840,146735923.2,144482304,158371840,147260211.2
171,171,549,549,0,0,0,0,447,2140,2140,6.625 4.626,4.658 6.681,315556.903,388183.05,1.748,1.506,1.852,8.74,0.107,1.48,0.022,145063936,159604736,147972096,145719296,159604736,148496384
171,171,549,549,0,0,0,0,447,2140,2140,4.658 6.681,4.493 5.228,162619.453,348930.327,1.615,1.45,1.676,8.075,0.053,1.402,0.019,150695936,161042432,152765235.2,151351296,161042432,153289523.2
171,171,549,549,0,0,0,0,447,2140,2140,4.493 5.228,2.142 5.184,260394.492,712582.88,1.755,1.564,1.809,8.774,0.218,1.377,0.023,147730432,162275328,150639411.2,148385792,162275328,151163699.2
171,171,549,549,0,0,0,0,447,2140,2140,2.142 5.184,1.351 6.43,163866.944,171412.755,1.751,1.55,1.816,8.756,0.024,1.563,0.026,157102080,161161216,157918822.4,157757440,161161216,158443110.4
171,171,549,549,0,0,0,0,447,2140,2140,1.351 6.43,1.538 2.444,443731.173,602257.161,1.897,1.68,1.98,9.484,0.156,1.575,0.025,157708288,161763328,159777587.2,158494720,161763328,160406732.8
171,171,549,549,0,0,0,0,447,2140,2140,1.538 2.444,4.988 4.768,461884.179,563215.15,1.762,1.579,1.82,8.808,0.12,1.476,0.019,163889152,167948288,164700979.2,164544512,167948288,165225267.2
171,171,549,549,0,0,0,0,447,2140,2140,4.988 4.768,6.735 3.245,257358.845,493065.694,1.805,1.597,1.885,9.026,0.115,1.527,0.021,172175360,176230400,173825228.8,172830720,176230400,174349516.8
171,171,549,549,0,0,0,0,447,2140,2140,6.735 3.245,9.145 4.407,297038.931,632780.489,1.998,1.766,2.07,9.988,0.248,1.581,0.026,171888640,178044928,173539328,172675072,178044928,174168473.6
171,171,549,549,0,0,0,0,447,2140,2140,9.145 4.407,9.207 1.774,292816.09,493927.941,1.642,1.448,1.709,8.209,0.086,1.389,0.02,178180096,182239232,179830784,178835456,182239232,180355072
171,171,549,549,0,0,0,0,447,2140,2140,9.207 1.774,7.405 2.806,230734.917,284349.039,2.137,1.906,2.2,10.684,0.043,1.911,0.036,173719552,177778688,175370240,174505984,177778688,175999385.6
171,171,549,549,0,0,0,0,447,2140,2140,7.405 2.806,7.405 0.478,258860.106,375234.353,2.291,2.037,2.378,11.457,0.061,2.045,0.035,176717824,182874112,178368512,177504256,182874112,178997657.6
171,171,549,549,0,0,0,0,447,2140,2140,7.405 0.478,4.334 2.658,418609.574,542609.733,1.998,1.787,2.067,9.991,0.123,1.697,0.029,178003968,184160256,179654656,178790400,184160256,180283801.6
171,171,549,549,0,0,0,0,447,2140,2140,4.334 2.658,3.263 1.28,194024.77,196587.877,1.879,1.668,1.941,9.394,0.028,1.682,0.026,183779328,189935616,185430016,184434688,189935616,185954304
171,171,549,549,0,0,0,0,447,2140,2140,3.263 1.28,1.584 1.403,187133.26,405035.367,1.784,1.669,1.818,8.922,0.109,1.513,0.017,180260864,186413056,181910732.8,180916224,186413056,182435020.8
