obstacles_input,obstacles_after_unwrapping,obstacle_vertices_input,obstacle_vertices_after_unwrapping,road_vertices_input,road_vertices_after_merging,road_edges_input,road_edges_after_merging,other_vertices_input,visibility_edges_before_merging,visibility_edges_after_merging,from,to,distance_beeline,distance_route,min_time,max_time,avg_time,total_time_of_all_iterations,astar_avg_time,add_positions_to_graph_avg_time,restore_avg_time,min_mem_before,max_mem_before,avg_mem_before,min_mem_after,max_mem_after,avg_mem_after
2736,2736,7776,7776,0,0,0,0,7056,48240,48240,1.555 8.509,2.291 7.982,99990.484,132535.354,32.099,52.253,37.682,188.412,1.734,27.576,7.559,245903360,248135680,247682662.4,248131584,254402560,250644889.6
2736,2736,7776,7776,0,0,0,0,7056,48240,48240,2.291 7.982,4.079 8.3,199982.687,272477.083,32.744,34.002,33.039,165.194,1.416,24.046,7.546,250904576,255078400,252989440,250904576,255078400,253408870.4
2736,2736,7776,7776,0,0,0,0,7056,48240,48240,4.079 8.3,6.474 7.018,299897.156,427827.977,34.835,35.399,35.25,176.248,3.226,24.582,7.407,259620864,259641344,259624960,261738496,265912320,265077555.2
2736,2736,7776,7776,0,0,0,0,7056,48240,48240,6.474 7.018,3.614 4.819,399823.561,492758.526,35.135,47.84,37.745,188.723,6.392,22.808,7.495,264142848,264142848,264142848,266240000,266240000,266240000
2736,2736,7776,7776,0,0,0,0,7056,48240,48240,3.614 4.819,6.176 8.524,499756.26,612620.88,37.407,37.578,37.486,187.431,8.355,21.626,7.471,260284416,260284416,260284416,262381568,262381568,262381568
2736,2736,7776,7776,0,0,0,0,7056,48240,48240,6.176 8.524,2.499 4.556,599644.743,722332.876,38.19,38.327,38.255,191.276,7.427,23.316,7.473,256581632,256581632,256581632,258678784,258678784,258678784
2736,2736,7776,7776,0,0,0,0,7056,48240,48240,2.499 4.556,8.45 2.485,699412.924,937208.824,43.731,44.054,43.855,219.276,11.832,24.485,7.496,257101824,257101824,257101824,259198976,259198976,259198976
2736,2736,7776,7776,0,0,0,0,7056,48240,48240,8.45 2.485,4.841 8.715,799523.649,1037086.063,41.027,41.24,41.107,205.533,10.959,22.628,7.472,257839104,257843200,257839923.2,259936256,259940352,259937075.2
2736,2736,7776,7776,0,0,0,0,7056,48240,48240,4.841 8.715,2.345 1.018,899350.141,1017076.791,42.042,42.546,42.188,210.941,11.615,23.075,7.458,262860800,262864896,262864076.8,264957952,264962048,264961228.8
2736,2736,7776,7776,0,0,0,0,7056,48240,48240,2.345 1.018,8.245 7.815,999231.417,1246718.597,44.377,44.516,44.44,222.198,12.704,24.224,7.467,263413760,263413760,263413760,265510912,265510912,265510912
2736,2736,7776,7776,0,0,0,0,7056,48240,48240,8.245 7.815,3.291 0.849,949351.889,1172687.593,45.976,46.147,46.046,230.229,12.411,26.098,7.494,268881920,268886016,268883558.4,275173376,275177472,275175014.4
2736,2736,7776,7776,0,0,0,0,7056,48240,48240,3.291 0.849,2.277 8.421,849368.083,959297.095,43.622,43.698,43.659,218.295,9.826,26.305,7.49,269443072,269443072,269443072,275734528,275734528,275734528
2736,2736,7776,7776,0,0,0,0,7056,48240,48240,2.277 8.421,5.684 2.594,749553.923,1005540.861,42.583,43.363,42.779,213.897,10.11,25.142,7.483,266022912,266022912,266022912,268120064,268120064,268120064
2736,2736,7776,7776,0,0,0,0,7056,48240,48240,5.684 2.594,7.321 8.204,649621.869,705575.151,42.403,42.991,42.559,212.796,8.92,26.125,7.481,266612736,266616832,266615193.6,268709888,268713984,268712345.6
2736,2736,7776,7776,0,0,0,0,7056,48240,48240,7.321 8.204,3.972 4.548,549714.221,663605.405,38.964,39.177,39.046,195.232,6.05,25.481,7.481,267063296,267067392,267064115.2,269160448,269164544,269161267.2
2736,2736,7776,7776,0,0,0,0,7056,48240,48240,3.972 4.548,6.784 1.637,449636.783,601172.331,41.947,42.204,42.031,210.157,8.298,26.235,7.463,267341824,267341824,267341824,269438976,269438976,269438976
2736,2736,7776,7776,0,0,0,0,7056,48240,48240,6.784 1.637,7.597 4.676,349719.925,422730,36.515,36.629,36.55,182.749,3.329,25.758,7.434,267710464,267710464,267710464,269807616,269807616,269807616
2736,2736,7776,7776,0,0,0,0,7056,48240,48240,7.597 4.676,5.491 5.483,249904.596,344449.24,33.261,33.394,33.341,166.706,2.272,23.712,7.33,276537344,282849280,281585254.4,278634496,284946432,283682406.4
2736,2736,7776,7776,0,0,0,0,7056,48240,48240,5.491 5.483,4.973 4.235,150062.601,166577.945,31.478,31.717,31.585,157.927,0.396,23.94,7.225,278990848,283185152,282346291.2,281088000,285282304,284443443.2
