iteration_number,iteration_time,total_time,min_time,max_time,avg_time,min_mem,max_mem,avg_mem,total_vertices,total_vertices_after_preprocessing
0,225193.727,2250298.002,223335.668,226926.545,225029.8,21893120,29634560,25607782.4,30000,30000
1,224074.874,2250298.002,223335.668,226926.545,225029.8,21893120,29634560,25607782.4,30000,30000
2,223335.668,2250298.002,223335.668,226926.545,225029.8,21893120,29634560,25607782.4,30000,30000
3,223568.233,2250298.002,223335.668,226926.545,225029.8,21893120,29634560,25607782.4,30000,30000
4,223455.145,2250298.002,223335.668,226926.545,225029.8,21893120,29634560,25607782.4,30000,30000
5,223657.696,2250298.002,223335.668,226926.545,225029.8,21893120,29634560,25607782.4,30000,30000
6,226452.638,2250298.002,223335.668,226926.545,225029.8,21893120,29634560,25607782.4,30000,30000
7,226926.545,2250298.002,223335.668,226926.545,225029.8,21893120,29634560,25607782.4,30000,30000
8,226915.261,2250298.002,223335.668,226926.545,225029.8,21893120,29634560,25607782.4,30000,30000
9,226718.216,2250298.002,223335.668,226926.545,225029.8,21893120,29634560,25607782.4,30000,30000
