total_vertices,total_vertices_after_preprocessing,distance,route_length,avg_time,iteration_time,min_time,max_time,total_time,min_mem,max_mem,avg_mem,from,to
300,300,1025.836,1025.836,0.38,0.38,0.261,0.74,38.022,0,20480,368.64,0.2 0.89,0.201 0.899
300,300,5566.959,5566.959,0.403,0.403,0.241,0.733,40.282,-4096,122880,3235.84,0.201 0.897,0.241 0.926
300,300,9696.513,9696.513,0.381,0.381,0.315,0.69,38.085,0,65536,1556.48,0.238 0.924,0.264 0.84
300,300,12892.853,12892.853,0.75,0.75,0.429,1.202,74.972,0,12288,1433.6,0.263 0.844,0.37 0.887
300,300,16198.266,16198.266,0.863,0.863,0.63,1.838,86.265,0,270336,24207.36,0.368 0.886,0.392 0.742
300,300,20195.695,20198,1.003,1.003,0.887,1.443,100.329,266240,274432,266321.92,0.391 0.746,0.547 0.839
300,300,24203.52,25420.415,1.396,1.396,1.272,1.854,139.564,266240,266240,266240,0.545 0.837,0.743 0.749
300,300,30435.561,30435.561,2.324,2.324,2.147,3.085,232.365,0,536576,429260.8,0.741 0.751,0.486 0.651
300,300,34431.329,52952.27,7.009,7.009,6.54,7.58,700.936,0,2097152,272629.76,0.489 0.652,0.784 0.56
300,300,40435.875,40435.875,4.643,4.643,4.168,5.395,464.343,0,0,0,0.785 0.562,0.427 0.498
300,300,43602.284,43672.626,5.679,5.679,5.309,6.26,567.942,0,0,0,0.43 0.498,0.316 0.123
300,300,49971.271,50014.609,6.843,6.843,6.535,7.549,684.337,0,2097152,335544.32,0.317 0.127,0.571 0.498
300,300,54695.433,55267.557,11.038,11.038,10.525,12.023,1103.83,0,2359296,526909.44,0.569 0.495,0.953 0.188
300,300,60134.63,60134.63,8.621,8.621,8.211,9.573,862.14,-1937408,4194304,903372.8,0.95 0.19,0.447 0.388
300,300,65692.004,65692.004,17.662,17.662,17.166,18.135,1766.163,0,2097152,713031.68,0.45 0.387,0.892 0.779
300,300,69562.976,69731.544,13.904,13.904,13.451,14.541,1390.357,0,2097152,692060.16,0.89 0.777,0.273 0.673
300,300,74900.239,77462.24,20.991,20.991,20.371,21.878,2099.149,0,6291456,482344.96,0.276 0.674,0.926 0.498
300,300,79705.262,79846.736,22.499,22.499,21.88,24.064,2249.929,0,6291456,1237319.68,0.922 0.499,0.21 0.415
300,300,85209.479,85209.479,27.713,27.713,26.436,30.373,2771.254,0,6557696,3158794.24,0.214 0.416,0.946 0.188
300,300,90431.61,90500.985,32.009,32.009,29.344,32.905,3200.911,0,12849152,6201958.4,0.943 0.189,0.288 0.671
300,300,96238.179,96556.697,34.488,34.488,33.815,35.163,3448.813,0,6291456,3145728,0.291 0.669,0.963 0.124
300,300,100071.783,100151.23,39.985,39.985,36.615,41.1,3998.514,0,14680064,8891924.48,0.961 0.125,0.227 0.646
300,300,105807.293,105865.156,39.188,39.188,37.878,41.499,3918.776,0,14921728,8979087.36,0.23 0.644,0.982 0.062
