obstacles_input,obstacles_after_unwrapping,obstacle_vertices_input,obstacle_vertices_after_unwrapping,road_vertices_input,road_vertices_after_merging,road_edges_input,road_edges_after_merging,other_vertices_input,visibility_edges_before_merging,visibility_edges_after_merging,from,to,distance_beeline,distance_route,min_time,max_time,avg_time,total_time_of_all_iterations,astar_avg_time,add_positions_to_graph_avg_time,restore_avg_time,min_mem_before,max_mem_before,avg_mem_before,min_mem_after,max_mem_after,avg_mem_after
126,297,675,1188,0,0,0,0,495,3438,3438,0.3 0.99,0.301 0.999,1025.807,1025.807,5.731,6.291,6.121,30.606,0.015,5.685,0.406,186494976,186634240,186606387.2,186494976,186634240,186606387.2
126,297,675,1188,0,0,0,0,495,3438,3438,0.301 0.999,0.341 1.026,5406.317,5406.317,6.534,6.971,6.838,34.191,0.03,6.302,0.488,184938496,193114112,189076275.2,187035648,193114112,189495705.6
126,297,675,1188,0,0,0,0,495,3438,3438,0.341 1.026,0.364 0.94,9825.678,10246.994,6.41,6.623,6.518,32.592,0.05,5.955,0.493,189407232,191504384,191084953.6,191504384,193601536,191923814.4
126,297,675,1188,0,0,0,0,495,3438,3438,0.364 0.94,0.47 0.987,12938.898,12968.853,7.451,7.704,7.607,38.037,0.071,7.023,0.489,191791104,195985408,195146547.2,193888256,195985408,195565977.6
126,297,675,1188,0,0,0,0,495,3438,3438,0.47 0.987,0.492 0.842,16262.196,26424.666,9.489,9.813,9.683,48.417,0.213,8.952,0.493,194154496,198348800,197503385.6,196251648,198348800,197922816
126,297,675,1188,0,0,0,0,495,3438,3438,0.492 0.842,0.647 0.939,20367.372,23630.033,7.815,8.076,7.916,39.581,0.199,7.261,0.434,196915200,201109504,199425228.8,198995968,201109504,199844659.2
126,297,675,1188,0,0,0,0,495,3438,3438,0.647 0.939,0.843 0.849,23999.853,28092.054,5.251,5.51,5.402,27.009,0.222,4.741,0.414,195092480,201383936,199288422.4,195092480,201383936,199288422.4
126,297,675,1188,0,0,0,0,495,3438,3438,0.843 0.849,0.586 0.751,30596.678,31329.942,8.297,8.772,8.473,42.363,0.312,7.702,0.437,199450624,203644928,202806067.2,201547776,203644928,203225497.6
126,297,675,1188,0,0,0,0,495,3438,3438,0.586 0.751,0.884 0.66,34672.653,36289.956,8.889,9.05,8.941,44.706,0.248,8.237,0.431,197804032,204091392,200319795.2,197804032,204091392,200319795.2
126,297,675,1188,0,0,0,0,495,3438,3438,0.884 0.66,0.527 0.598,40311.399,40976.321,5.909,6.344,6.116,30.579,0.279,5.415,0.395,200376320,204570624,203731763.2,202473472,204832768,204203622.4
126,297,675,1188,0,0,0,0,495,3438,3438,0.527 0.598,0.416 0.223,43475.275,44186.19,5.158,5.705,5.406,27.028,0.379,4.628,0.379,200888320,205082624,204241305.6,202985472,205082624,204660736
126,297,675,1188,0,0,0,0,495,3438,3438,0.416 0.223,0.671 0.598,50417.472,55715.894,5.35,5.732,5.47,27.35,0.358,4.703,0.392,201445376,205639680,204800819.2,203542528,205639680,205220249.6
126,297,675,1188,0,0,0,0,495,3438,3438,0.671 0.598,1.053 0.288,54732.806,57413.868,4.058,4.188,4.141,20.705,0.543,3.202,0.375,201871360,201871360,201871360,201871360,201871360,201871360
126,297,675,1188,0,0,0,0,495,3438,3438,1.053 0.288,0.547 0.488,60513.925,67025.14,3.678,3.825,3.763,18.816,0.272,3.088,0.385,202149888,202170368,202158080,202149888,202170368,202158080
126,297,675,1188,0,0,0,0,495,3438,3438,0.547 0.488,0.992 0.879,65856.24,66749.056,4.15,4.629,4.282,21.412,0.6,3.223,0.442,202653696,206848000,206006681.6,204750848,206848000,206426112
126,297,675,1188,0,0,0,0,495,3438,3438,0.992 0.879,0.373 0.773,69858.274,72381.729,6.212,6.675,6.322,31.609,0.397,5.504,0.404,202944512,207138816,206299955.2,205041664,207138816,206719385.6
126,297,675,1188,0,0,0,0,495,3438,3438,0.373 0.773,1.026 0.598,75178.03,77289.351,6.815,7.23,6.915,34.576,0.601,5.853,0.445,203243520,207437824,206598963.2,205340672,207437824,207018393.6
126,297,675,1188,0,0,0,0,495,3438,3438,1.026 0.598,0.31 0.515,80079.89,87315.489,4.561,4.948,4.689,23.447,0.603,3.625,0.443,203636736,205733888,205314457.6,205733888,205733888,205733888
126,297,675,1188,0,0,0,0,495,3438,3438,0.31 0.515,1.046 0.288,85598.617,89119.04,4.019,4.069,4.037,20.185,0.74,2.908,0.372,208416768,208416768,208416768,208416768,208416768,208416768
126,297,675,1188,0,0,0,0,495,3438,3438,1.046 0.288,0.388 0.771,90788.646,95559.611,6.418,6.812,6.53,32.65,0.513,5.578,0.421,208556032,212750336,211911475.2,210653184,212750336,212330905.6
126,297,675,1188,0,0,0,0,495,3438,3438,0.388 0.771,1.063 0.224,96665.201,100699.418,6.361,6.835,6.475,32.375,0.732,5.328,0.397,208908288,213102592,212263731.2,211005440,213102592,212683161.6
126,297,675,1188,0,0,0,0,495,3438,3438,1.063 0.224,0.327 0.746,100393.312,104588.162,5.041,5.519,5.158,25.792,0.599,4.161,0.379,211283968,213381120,212542259.2,211283968,213381120,212542259.2
126,297,675,1188,0,0,0,0,495,3438,3438,0.327 0.746,1.082 0.162,106186.197,111771.026,5.493,5.77,5.584,27.918,0.813,4.368,0.383,209399808,211496960,211077529.6,211496960,211496960,211496960
