iteration_number,iteration_time,total_time,min_time,max_time,avg_time,min_mem,max_mem,avg_mem,total_vertices,total_vertices_after_preprocessing
0,1340.281,13380.407,1310.553,1438.22,1338.041,-8011776,38060032,2245836.8,3675,3675
1,1315.976,13380.407,1310.553,1438.22,1338.041,-8011776,38060032,2245836.8,3675,3675
2,1317.234,13380.407,1310.553,1438.22,1338.041,-8011776,38060032,2245836.8,3675,3675
3,1310.553,13380.407,1310.553,1438.22,1338.041,-8011776,38060032,2245836.8,3675,3675
4,1318.364,13380.407,1310.553,1438.22,1338.041,-8011776,38060032,2245836.8,3675,3675
5,1316.932,13380.407,1310.553,1438.22,1338.041,-8011776,38060032,2245836.8,3675,3675
6,1313.423,13380.407,1310.553,1438.22,1338.041,-8011776,38060032,2245836.8,3675,3675
7,1330.867,13380.407,1310.553,1438.22,1338.041,-8011776,38060032,2245836.8,3675,3675
8,1378.558,13380.407,1310.553,1438.22,1338.041,-8011776,38060032,2245836.8,3675,3675
9,1438.22,13380.407,1310.553,1438.22,1338.041,-8011776,38060032,2245836.8,3675,3675
