iteration_number,iteration_time,total_time,min_time,max_time,avg_time,min_mem,max_mem,avg_mem,total_vertices,total_vertices_after_preprocessing
0,1436.61,14395.095,1435.783,1460.415,1439.51,-11198464,22351872,9566208,4800,4800
1,1436.127,14395.095,1435.783,1460.415,1439.51,-11198464,22351872,9566208,4800,4800
2,1460.415,14395.095,1435.783,1460.415,1439.51,-11198464,22351872,9566208,4800,4800
3,1436.953,14395.095,1435.783,1460.415,1439.51,-11198464,22351872,9566208,4800,4800
4,1437.67,14395.095,1435.783,1460.415,1439.51,-11198464,22351872,9566208,4800,4800
5,1437.02,14395.095,1435.783,1460.415,1439.51,-11198464,22351872,9566208,4800,4800
6,1437.038,14395.095,1435.783,1460.415,1439.51,-11198464,22351872,9566208,4800,4800
7,1436.403,14395.095,1435.783,1460.415,1439.51,-11198464,22351872,9566208,4800,4800
8,1435.783,14395.095,1435.783,1460.415,1439.51,-11198464,22351872,9566208,4800,4800
9,1441.076,14395.095,1435.783,1460.415,1439.51,-11198464,22351872,9566208,4800,4800
