total_vertices,total_vertices_after_preprocessing,from,to,distance_beeline,distance_route,min_time,max_time,avg_time,total_time,astar_avg_time,add_positions_to_graph_avg_time,restore_avg_time,min_mem,max_mem,avg_mem
6075,10692,0.2 0.89,0.201 0.899,1025.836,1121.958,32.66,30.803,35.57,163.302,0.065,28.541,0.105,2097152,4194304,2516582.4
6075,10692,0.201 0.899,0.241 0.926,5406.475,6174.54,24.535,22.582,26.49,122.677,0.419,20.469,0.054,2097152,2101248,2097971.2
6075,10692,0.241 0.926,0.264 0.84,9825.958,9991.498,23.944,22.906,27.003,119.719,0.193,20.279,0.045,0,2097152,1677721.6
6075,10692,0.264 0.84,0.37 0.887,12939.258,13136.229,32.459,29.609,41.403,162.294,1.787,26.227,0.157,2097152,2256896,2129100.8
6075,10692,0.37 0.887,0.392 0.742,16262.624,18321.749,33.494,33.291,33.667,167.468,0.832,29.111,0.115,2097152,2097152,2097152
6075,10692,0.392 0.742,0.547 0.839,20367.893,20568.916,32.322,32.114,32.544,161.609,1.191,27.611,0.105,2097152,2097152,2097152
6075,10692,0.547 0.839,0.743 0.749,24000.469,26385.389,33.284,32.994,33.43,166.419,1.805,27.925,0.102,2097152,2097152,2097152
6075,10692,0.743 0.749,0.486 0.651,30597.377,31543.604,35.247,34.957,35.786,176.234,2.907,28.765,0.135,2097152,2097152,2097152
6075,10692,0.486 0.651,0.784 0.56,34673.345,36546.182,43.05,42.63,43.653,215.252,4.114,35.323,0.178,2097152,2097152,2097152
6075,10692,0.784 0.56,0.427 0.498,40312.11,41146.42,42.868,42.744,43.029,214.339,4.595,34.66,0.177,2097152,2097152,2097152
6075,10692,0.427 0.498,0.316 0.123,43475.752,46772.651,38.151,38.096,38.26,190.754,7.154,27.402,0.146,2097152,2097152,2097152
6075,10692,0.316 0.123,0.571 0.498,50418.026,53467.077,33.651,33.287,34.622,168.253,5.145,24.97,0.098,2097152,2097152,2097152
6075,10692,0.571 0.498,0.953 0.188,54733.461,57415.62,37.785,37.477,38.096,188.925,10.015,24.202,0.115,2097152,2097152,2097152
6075,10692,0.953 0.188,0.447 0.388,60514.548,64770.326,32.151,32.065,32.309,160.757,4.979,23.642,0.083,2097152,2097152,2097152
6075,10692,0.447 0.388,0.892 0.779,65857.511,68598,47.237,47.163,47.298,236.186,12.873,30.773,0.14,2097152,2097152,2097152
6075,10692,0.892 0.779,0.273 0.673,69859.925,71661.946,42.673,42.623,42.729,213.363,7.237,31.849,0.144,2097152,2097152,2097152
6075,10692,0.273 0.673,0.926 0.498,75179.486,79804.179,37.46,36.943,38.373,187.302,11.951,21.959,0.086,2097152,2097152,2097152
6075,10692,0.926 0.498,0.21 0.415,80081.125,82847.471,40.684,40.426,40.937,203.42,10.01,27.111,0.123,2097152,2097152,2097152
6075,10692,0.21 0.415,0.946 0.188,85599.534,89128.492,46.976,46.729,47.483,234.878,13.148,30.241,0.143,2097152,2097152,2097152
6075,10692,0.946 0.188,0.288 0.671,90789.972,94243.025,37.179,36.991,37.564,185.893,9.883,23.755,0.097,2097152,2097152,2097152
6075,10692,0.288 0.671,0.963 0.124,96666.518,101404.171,38.256,38.058,38.504,191.279,14.176,20.547,0.074,2097152,2097152,2097152
6075,10692,0.963 0.124,0.227 0.646,100394.643,105938.206,36.723,36.526,36.864,183.615,10.703,22.464,0.092,2097152,2097152,2097152
6075,10692,0.227 0.646,0.982 0.062,106187.504,110799.375,40.685,40.347,41.271,203.424,14.311,22.791,0.093,2097152,2146304,2106982.4
