iteration_number,iteration_time,total_time,min_time,max_time,avg_time,spread,spread_percent
0,8914.86,88577.737,8791.114,8914.86,8857.774,123.746,1.388
1,8879.95,88577.737,8791.114,8914.86,8857.774,123.746,1.388
2,8895.417,88577.737,8791.114,8914.86,8857.774,123.746,1.388
3,8892.173,88577.737,8791.114,8914.86,8857.774,123.746,1.388
4,8819.555,88577.737,8791.114,8914.86,8857.774,123.746,1.388
5,8825.285,88577.737,8791.114,8914.86,8857.774,123.746,1.388
6,8876.384,88577.737,8791.114,8914.86,8857.774,123.746,1.388
7,8864.81,88577.737,8791.114,8914.86,8857.774,123.746,1.388
8,8818.189,88577.737,8791.114,8914.86,8857.774,123.746,1.388
9,8791.114,88577.737,8791.114,8914.86,8857.774,123.746,1.388
