iteration_number,iteration_time,total_time,min_time,max_time,avg_time,spread,spread_percent,input_vertices
0,53994.527,538203.846,53627.586,53994.527,53820.385,366.941,0.68,14625
1,53731.134,538203.846,53627.586,53994.527,53820.385,366.941,0.68,14625
2,53797.527,538203.846,53627.586,53994.527,53820.385,366.941,0.68,14625
3,53827.88,538203.846,53627.586,53994.527,53820.385,366.941,0.68,14625
4,53901.863,538203.846,53627.586,53994.527,53820.385,366.941,0.68,14625
5,53627.586,538203.846,53627.586,53994.527,53820.385,366.941,0.68,14625
6,53687.038,538203.846,53627.586,53994.527,53820.385,366.941,0.68,14625
7,53913.838,538203.846,53627.586,53994.527,53820.385,366.941,0.68,14625
8,53881.493,538203.846,53627.586,53994.527,53820.385,366.941,0.68,14625
9,53840.961,538203.846,53627.586,53994.527,53820.385,366.941,0.68,14625
