iteration_number,iteration_time,total_time,min_time,max_time,avg_time,spread,spread_percent,input_vertices
0,59552.03,602124.849,59399.483,60829.174,60212.485,1429.691,2.35,14625
1,60364.816,602124.849,59399.483,60829.174,60212.485,1429.691,2.35,14625
2,60829.174,602124.849,59399.483,60829.174,60212.485,1429.691,2.35,14625
3,60569.421,602124.849,59399.483,60829.174,60212.485,1429.691,2.35,14625
4,60511.301,602124.849,59399.483,60829.174,60212.485,1429.691,2.35,14625
5,60606.519,602124.849,59399.483,60829.174,60212.485,1429.691,2.35,14625
6,60049.223,602124.849,59399.483,60829.174,60212.485,1429.691,2.35,14625
7,59399.483,602124.849,59399.483,60829.174,60212.485,1429.691,2.35,14625
8,59969.972,602124.849,59399.483,60829.174,60212.485,1429.691,2.35,14625
9,60272.909,602124.849,59399.483,60829.174,60212.485,1429.691,2.35,14625
