iteration_number,iteration_time,total_time,min_time,max_time,avg_time,spread,spread_percent
0,0.257,2.413,0.19,0.41,0.241,0.22,53.734
1,0.41,2.413,0.19,0.41,0.241,0.22,53.734
2,0.289,2.413,0.19,0.41,0.241,0.22,53.734
3,0.208,2.413,0.19,0.41,0.241,0.22,53.734
4,0.228,2.413,0.19,0.41,0.241,0.22,53.734
5,0.192,2.413,0.19,0.41,0.241,0.22,53.734
6,0.19,2.413,0.19,0.41,0.241,0.22,53.734
7,0.199,2.413,0.19,0.41,0.241,0.22,53.734
8,0.231,2.413,0.19,0.41,0.241,0.22,53.734
9,0.211,2.413,0.19,0.41,0.241,0.22,53.734
