iteration_number,iteration_time,total_time,min_time,max_time,avg_time,spread,spread_percent
0,197118.999,1928861.27,190580.891,197118.999,192886.127,6538.108,3.317
1,196462.582,1928861.27,190580.891,197118.999,192886.127,6538.108,3.317
2,196694.095,1928861.27,190580.891,197118.999,192886.127,6538.108,3.317
3,191023.891,1928861.27,190580.891,197118.999,192886.127,6538.108,3.317
4,190580.891,1928861.27,190580.891,197118.999,192886.127,6538.108,3.317
5,191838.211,1928861.27,190580.891,197118.999,192886.127,6538.108,3.317
6,191318.011,1928861.27,190580.891,197118.999,192886.127,6538.108,3.317
7,191429.701,1928861.27,190580.891,197118.999,192886.127,6538.108,3.317
8,191403.552,1928861.27,190580.891,197118.999,192886.127,6538.108,3.317
9,190991.337,1928861.27,190580.891,197118.999,192886.127,6538.108,3.317
