iteration_number,iteration_time,total_time,min_time,max_time,avg_time,spread,spread_percent,input_vertices
0,1.046,9.757,0.884,1.089,0.976,0.205,18.856,244
1,0.896,9.757,0.884,1.089,0.976,0.205,18.856,244
2,1.071,9.757,0.884,1.089,0.976,0.205,18.856,244
3,0.901,9.757,0.884,1.089,0.976,0.205,18.856,244
4,0.948,9.757,0.884,1.089,0.976,0.205,18.856,244
5,0.884,9.757,0.884,1.089,0.976,0.205,18.856,244
6,0.943,9.757,0.884,1.089,0.976,0.205,18.856,244
7,1.089,9.757,0.884,1.089,0.976,0.205,18.856,244
8,1.056,9.757,0.884,1.089,0.976,0.205,18.856,244
9,0.924,9.757,0.884,1.089,0.976,0.205,18.856,244
