iteration_number,iteration_time,total_time,min_time,max_time,avg_time,spread,spread_percent,input_vertices
0,2.12,20.641,1.983,2.153,2.064,0.17,7.906,1525
1,2.121,20.641,1.983,2.153,2.064,0.17,7.906,1525
2,2.153,20.641,1.983,2.153,2.064,0.17,7.906,1525
3,2.007,20.641,1.983,2.153,2.064,0.17,7.906,1525
4,2.064,20.641,1.983,2.153,2.064,0.17,7.906,1525
5,2.017,20.641,1.983,2.153,2.064,0.17,7.906,1525
6,1.983,20.641,1.983,2.153,2.064,0.17,7.906,1525
7,2.024,20.641,1.983,2.153,2.064,0.17,7.906,1525
8,2.045,20.641,1.983,2.153,2.064,0.17,7.906,1525
9,2.107,20.641,1.983,2.153,2.064,0.17,7.906,1525
