source,id,distance_beeline,distance_absolute,distance_relative
expected,"1",100.102,189.2693913354301,1.8907653327149316
hiker,"1",100.102,185.113,1.8492437713532197
routing,"1",100.102,225.37572102595811,2.25146072032485
expected,"2",150.348,186.0247204608818,1.2372942803421514
hiker,"2",150.348,175.546,1.1675978396786122
routing,"2",150.348,242.80121804583868,1.6149281536557762
expected,"3",200.038,288.49398095994405,1.4421958875810799
hiker,"3",200.038,242.904,1.214289285035843
routing,"3",200.038,344.59538809875886,1.7226496370627522
expected,"4",249.953,254.5653210169506,1.0184527531854013
hiker,"4",249.953,256.549,1.0263889611246912
routing,"4",249.953,267.4271632112293,1.0699097958865438
expected,"5",299.824,548.6481277103188,1.8299006340730521
hiker,"5",299.824,333.336,1.1117722397139655
routing,"5",299.824,529.4803819598084,1.765970642643045
expected,"6",349.744,480.37721362133584,1.3735109497842302
hiker,"6",349.744,406.825,1.1632079463836404
routing,"6",349.744,557.3762397345963,1.593669197283145
expected,"7",400.337,582.1961330845917,1.454265114352637
hiker,"7",400.337,549.265,1.3720065844525986
routing,"7",400.337,655.8413185908519,1.6382230935208384
expected,"8",449.642,703.4531085990376,1.5644737560081967
hiker,"8",449.642,609.834,1.3562656513403997
routing,"8",449.642,764.2844094998862,1.6997620540338452
expected,"9",499.74,723.0626879793114,1.4468777523898655
hiker,"9",499.74,634.476,1.2696121983431383
routing,"9",499.74,772.7553707667213,1.5463148252425687
expected,"10",550.109,900.4278828880581,1.6368172178387521
hiker,"10",550.109,776.068,1.4107531416501091
routing,"10",550.109,926.6778338535189,1.6845349446264628
