source,id,distance_beeline,distance_absolute,distance_relative
expected,"1",100.421,291.22108790886574,2.9000018712108595
hiker,"1",100.421,100.421,1.0
routing,"1",100.421,224.90601821777818,2.2396313342605447
expected,"2",150.826,215.82202302548671,1.4309338113156003
hiker,"2",150.826,154.807,1.0263946534417143
routing,"2",150.826,252.17110647490404,1.6719339270079698
expected,"3",200.674,246.61444757824765,1.2289307412930806
hiker,"3",200.674,211.723,1.055059449654664
routing,"3",200.674,304.0797869471917,1.5152923993501484
expected,"4",250.748,640.7114074903993,2.555200470154894
hiker,"4",250.748,252.005,1.0050130011007068
routing,"4",250.748,782.6337453861752,3.1211963620295085
expected,"5",300.778,433.43439053351295,1.441044193835696
hiker,"5",300.778,316.427,1.05202840633291
routing,"5",300.778,449.446651857952,1.4942803391802326
expected,"6",350.857,677.0390092462866,1.929672228988695
hiker,"6",350.857,365.987,1.0431229817275984
routing,"6",350.857,1785.730532606615,5.089624925843335
expected,"7",401.61,454.0493631807901,1.1305728522217826
hiker,"7",401.61,401.61,1.0
routing,"7",401.61,1721.315426939715,4.2860372673482106
expected,"8",451.072,561.9967115105057,1.2459135382167497
hiker,"8",451.072,489.635,1.085491894863791
routing,"8",451.072,575.9099211156102,1.276758302700257
expected,"9",501.33,694.6289043970041,1.385572186777181
hiker,"9",501.33,644.77,1.2861189236630564
routing,"9",501.33,702.5275599522091,1.4013275885189578
expected,"10",551.859,743.8165564009286,1.347838046314237
hiker,"10",551.859,576.443,1.0445476108933622
routing,"10",551.859,625.7793512390571,1.1339478947322723
